title,Wind Speed,Gust Speed,Wind Direction,MRT,Temp,RH,Solar Radiation,DewPt,hour,day,month,DHR,DNI
2019-10-31 06:00:00-05:00,1.1697546666666667,3.841563733333333,238.38333333333333,15.843333333333332,16.10138889,88.64999999999999,0.6,14.25925926,6,31,10,0.582,0.04757607681458402
2019-10-31 07:00:00-05:00,1.1146197333333336,3.6180437333333337,243.7833333333334,16.284259258333336,16.442962963333333,88.01666666666667,14.583333333333334,14.444444445,7,31,10,14.145833333333334,1.03985038016436
2019-10-31 08:00:00-05:00,1.2263797333333335,4.120218666666666,238.15,17.232499999999998,17.030370371666667,86.88333333333333,45.21666666666666,14.861111111666668,8,31,10,43.86016666666666,3.00756596241622
2019-10-31 09:00:00-05:00,1.1712448,4.118728533333333,234.63333333333335,17.993888888333334,17.704814813333332,85.5,48.95000000000001,15.268518518333336,9,31,10,47.48150000000001,3.14343887361716
2019-10-31 10:00:00-05:00,1.3947648000000001,4.5642784,242.60000000000002,18.144537036666666,18.093055555000003,85.3,28.516666666666666,15.620370369999998,10,31,10,27.661166666666666,1.8278464140837194
2019-10-31 11:00:00-05:00,1.7255744000000002,5.0671984,236.26666666666665,19.004351853333333,18.695185185,85.83333333333333,60.633333333333326,16.324074073333332,11,31,10,58.81433333333332,4.010225441591583
2019-10-31 12:00:00-05:00,1.560914666666667,5.012063466666667,236.28333333333333,18.97666666666667,18.833981481666665,88.21666666666665,38.73333333333333,16.87962963,12,31,10,37.57133333333333,2.7353532669620404
2019-10-31 13:00:00-05:00,1.5065248000000002,4.397383466666667,239.79999999999998,18.968611111666664,19.016296296666667,91.03333333333332,28.96666666666667,17.555555556666672,13,31,10,28.09766666666667,2.2650777618436893
2019-10-31 14:00:00-05:00,1.5065248000000002,4.843678400000001,238.61666666666667,19.654629630000002,19.634814815,91.36666666666666,39.36666666666667,18.203703705,14,31,10,38.18566666666666,3.5473451640253137
2019-10-31 15:00:00-05:00,1.8894890666666668,5.5120032,237.70000000000002,19.995462963333335,20.146111111666666,90.34999999999998,18.133333333333333,18.518518518333334,15,31,10,17.589333333333332,1.9703993876231323
2019-10-31 16:00:00-05:00,1.8373344000000003,6.290597866666666,241.66666666666666,19.801296296666667,20.416111111666666,91.33333333333333,2.283333333333333,18.972222221666666,16,31,10,2.214833333333333,0.3156563506161293
2019-10-31 17:00:00-05:00,2.7239637333333335,8.961661866666667,222.6833333333333,19.34537037,19.670925926666666,93.18333333333334,0.6,18.574074073333335,17,31,10,0.582,0.1126992913375937
