Plot Title: Parking Lot_PSB 2019,,,,,,,,,,
#,"Date Time, GMT-05:00","Wind Speed, mph (LGR S/N: 20702489, SEN S/N: 20496534)","Gust Speed, mph (LGR S/N: 20702489, SEN S/N: 20496534)","Wind Direction, ø (LGR S/N: 20702489, SEN S/N: 20496534)","MRT, °F (LGR S/N: 20702489, SEN S/N: 20693834)","Temp, °F (LGR S/N: 20702489, SEN S/N: 20698453)","RH, % (LGR S/N: 20702489, SEN S/N: 20698453)","Solar Radiation, W/m² (LGR S/N: 20702489, SEN S/N: 20702166)","DewPt, °F (LGR S/N: 20702489, SEN S/N: 20698453)","SkyCover, Fraction (LGR S/N: 20095520, SEN S/N: 10732331, LBL: Tamb)"
38,01/02/19 01:00:00 PM,1.114619733,3.784938667,258.1,12.37009259,9.603148148,38.35,136.25,-3.898148148,1
39,01/02/19 02:00:00 PM,0.946234667,3.1158688,265.85,9.78824074,8.828796296,42.95,85.21666667,-3.064814815,1
40,01/02/19 03:00:00 PM,1.227869867,3.673178667,253.9,8.687777778,8.294259259,43.95,44.56666667,-3.231481482,1
41,01/02/19 04:00:00 PM,1.3947648,3.841563733,256.95,7.262777778,7.401574074,44.26666667,6.25,-3.944444445,1
42,01/02/19 05:00:00 PM,1.2830048,3.9518336,251.55,6.475185185,6.745833333,47,0.6,-3.740740741,1
43,01/02/19 06:00:00 PM,0.780829867,2.390173867,271.0166667,5.987407407,6.462685185,48.18333333,0.6,-3.731481481,1
44,01/02/19 07:00:00 PM,1.114619733,3.618043733,266.7833333,5.658981482,6.000092593,49.98333333,0.6,-3.648148148,1
45,01/02/19 08:00:00 PM,1.057994667,3.337898667,288.1333333,5.462407407,5.851018519,52.03333333,0.6,-3.212962963,1
46,01/02/19 09:00:00 PM,0.8359648,2.449034133,218.4833333,5.539444444,6.055462963,51.85,0.6,-3.092592592,1
47,01/02/19 10:00:00 PM,0.5006848,2.059364267,273.1166667,5.277962963,5.761296296,52.91666667,0.6,-3.083333333,1
48,01/02/19 11:00:00 PM,0.387434667,1.614559467,268.45,5.522222222,6.157037037,53.83333333,0.6,-2.481481482,1
49,01/03/19 12:00:00 AM,0.444059733,1.727064533,225.7166667,5.961944444,6.458333333,54.73333333,0.6,-1.962962963,1
50,01/03/19 01:00:00 AM,0.67056,2.0027392,295.6333333,6.276111111,6.673703704,55.81666667,0.6,-1.537037037,1
51,01/03/19 02:00:00 AM,0.557309867,2.0049744,298.45,6.800092593,7.153796296,55.91666667,0.6,-1.037037037,1
52,01/03/19 03:00:00 AM,0.725694933,2.560049067,299.65,6.909814815,7.065092593,55.53333333,0.6,-1.222222222,1
53,01/03/19 04:00:00 AM,0.780829867,1.836589333,261.85,6.258240741,6.406018519,58.1,0.6,-1.222222222,1
54,01/03/19 05:00:00 AM,0.8359648,2.168889067,246.35,6.097777778,6.280092593,60.15,0.6,-0.861111111,1
55,01/03/19 06:00:00 AM,0.7242048,1.613069333,231.6,5.535,5.680277778,61.6,0.6,-1.111111111,1
56,01/03/19 07:00:00 AM,0.220539733,0.8359648,194.9833333,5.659074074,5.808518519,63.26666667,0.816666667,-0.62962963,1
57,01/03/19 08:00:00 AM,0.1654048,0.780829867,105.8333333,6.317685185,6.513148148,64.93333333,14.58333333,0.398148148,1
58,01/03/19 09:00:00 AM,0.275674667,1.002859733,200.15,7.622962963,7.6025,68.38333333,27.51666667,2.148148148,1
59,01/03/19 10:00:00 AM,0.3308096,1.0594848,120.8333333,7.87,7.765462963,72.31666667,24.78333333,3.092592593,1
60,01/03/19 11:00:00 AM,0.3308096,1.169754667,129.0333333,7.999166667,7.68212963,79.66666667,42.26666667,4.388888889,1
61,01/03/19 12:00:00 PM,0.444059733,1.505779733,126.6833333,8.011666667,7.803148148,83.28333333,35.2,5.157407407,1
62,01/03/19 01:00:00 PM,0.444059733,1.727064533,169.8833333,8.651018519,8.385740741,83.08333333,43.53333333,5.685185185,1
63,01/03/19 02:00:00 PM,0.220539733,1.002859733,146.8833333,8.44787037,8.311296296,84.63333333,22.5,5.888888889,1
64,01/03/19 03:00:00 PM,0.444059733,1.337394667,140.1,7.986481481,7.836296296,89.28333333,12.7,6.185185185,1
65,01/03/19 04:00:00 PM,0.387434667,1.338139733,200.3833333,7.703148148,7.844814815,89.85,1.866666667,6.287037037,1
66,01/03/19 05:00:00 PM,0.3889248,1.281514667,198.2833333,7.397222222,7.430833334,91.36666667,0.6,6.12962963,1
67,01/03/19 06:00:00 PM,0.220539733,1.1712448,150.3833333,7.636111111,7.77,90.86666667,0.6,6.351851852,1
68,01/03/19 07:00:00 PM,0.333789867,1.1712448,220.55,7.296851852,7.317685185,91.46666667,0.6,6.046296296,1
69,01/03/19 08:00:00 PM,0.275674667,1.002859733,264.4333333,7.271759259,7.330370371,92.23333333,0.6,6.157407407,1
70,01/03/19 09:00:00 PM,0.444059733,1.227869867,129.2833333,6.99,6.956203704,93.03333333,0.6,5.916666667,1
71,01/03/19 10:00:00 PM,0.444059733,1.337394667,166.8333333,6.47962963,6.466759259,94.8,0.6,5.703703704,1
72,01/03/19 11:00:00 PM,0.5006848,1.614559467,86.35,5.999907407,5.901944445,96.1,0.6,5.342592593,1
73,01/04/19 12:00:00 AM,0.387434667,1.2830048,76.73333333,5.496481481,5.4625,95.93333333,0.6,4.833333333,1
74,01/04/19 01:00:00 AM,0.387434667,1.1712448,103.9333333,5.166388889,5.22212963,95.88333333,0.6,4.62962963,0.2
75,01/04/19 02:00:00 AM,0.2771648,0.9477248,123.4166667,4.920925926,4.963981482,96.31666667,0.6,4.425925926,0
76,01/04/19 03:00:00 AM,0.613934933,1.3366496,157.4333333,4.826388889,4.8825,97.1,0.6,4.481481482,0
77,01/04/19 04:00:00 AM,0.387434667,1.338139733,210.4666667,4.692407407,4.778611111,97.55,0.6,4.425925926,0
78,01/04/19 05:00:00 AM,0.669069867,1.559424533,205.3166667,4.484444444,4.532037037,97.86666667,0.6,4.231481481,0
79,01/04/19 06:00:00 AM,0.444059733,1.3947648,171.5166667,4.1675,4.206574074,98.18333333,0.6,3.944444445,0
80,01/04/19 07:00:00 AM,0.387434667,1.394019733,107.7,3.853425926,3.871111111,98.4,0.6,3.685185185,0
81,01/04/19 08:00:00 AM,0.557309867,1.8909792,76.98333333,3.621481481,3.673888889,98.21666667,2.266666667,3.435185185,0
82,01/04/19 09:00:00 AM,0.891099733,2.504169067,86.6,2.907222222,2.98712963,97.73333333,8.95,2.666666667,0
83,01/04/19 10:00:00 AM,0.892589867,2.501933867,67.58333333,2.507962963,2.619351852,97.68333333,9.166666667,2.287037037,0
84,01/04/19 11:00:00 AM,0.891099733,2.390918933,61.46666667,2.137037037,2.23537037,97.68333333,6.683333333,1.935185185,0
85,01/04/19 12:00:00 PM,1.2830048,2.895329067,66.4,1.579259259,1.587962963,97.98333333,16.46666667,1.324074074,0
86,01/04/19 01:00:00 PM,0.780829867,2.278413867,87.53333333,1.470462963,1.416203704,97.81666667,23.55,1.111111111,0
87,01/04/19 02:00:00 PM,0.891099733,2.2821392,65.01666667,1.411574074,1.542962963,97.55,9.15,1.203703704,0
88,01/04/19 03:00:00 PM,0.669069867,1.946114133,77.43333333,1.425092593,1.660833333,96.7,2.7,1.203703704,0
89,01/04/19 04:00:00 PM,0.8359648,2.390918933,73.45,1.375277778,1.642777778,95.5,0.816666667,1,0
90,01/04/19 05:00:00 PM,0.946234667,2.670318933,63.81666667,1.134907407,1.375277778,95.76666667,0.6,0.787037037,0
91,01/04/19 06:00:00 PM,1.0594848,2.615929067,65.68333333,1.103333333,1.303055556,94.3,0.6,0.5,0
92,01/04/19 07:00:00 PM,0.669069867,2.392409067,98.08333333,0.916296296,1.112314815,91.03333333,0.6,-0.203703704,0
93,01/04/19 08:00:00 PM,0.892589867,2.4497792,82.81666667,0.907037037,1.098518519,90.83333333,0.6,-0.240740741,0
94,01/04/19 09:00:00 PM,1.172734933,2.784314133,67.35,0.318703704,0.387685185,93.36666667,0.6,-0.574074074,0
95,01/04/19 10:00:00 PM,1.1712448,2.838704,62.38333333,0.342314815,0.545,92.45,0.6,-0.537037037,0
96,01/04/19 11:00:00 PM,1.396254933,3.117358933,58.88333333,0.042222222,0.356388889,92.53333333,0.6,-0.703703704,0
97,01/05/19 12:00:00 AM,1.339629867,3.117358933,56.06666667,0.116388889,0.273055556,90.7,0.6,-1.092592593,0
98,01/05/19 01:00:00 AM,1.5065248,3.618043733,57.23333333,0.139259259,0.361111111,87.86666667,0.6,-1.435185185,0
99,01/05/19 02:00:00 AM,1.226379733,3.229118933,62.18333333,-0.152962963,-0.125185185,90.63333333,0.6,-1.462962963,0.8
100,01/05/19 03:00:00 AM,1.779964267,4.620903467,60.3,-0.39962963,-0.288055556,93.26666667,0.6,-1.268518518,0.8
101,01/05/19 04:00:00 AM,1.505779733,4.008458667,61.7,-0.521574074,-0.479351852,89.21666667,0.6,-2.055555556,1
102,01/05/19 05:00:00 AM,1.668949333,3.896698667,55.83333333,-0.5725,-0.39962963,87.8,0.6,-2.175925926,1
103,01/05/19 06:00:00 AM,1.670439467,4.2871136,60.51666667,-0.976944445,-0.708703704,89.38333333,0.6,-2.231481482,1
104,01/05/19 07:00:00 AM,1.670439467,4.231978667,60.53333333,-1.165925926,-0.751203704,89.4,0.6,-2.277777778,1
105,01/05/19 08:00:00 AM,1.671184533,4.0635936,58.88333333,-1.014814815,-0.732314815,88.63333333,6.25,-2.37037037,0.8
106,01/05/19 09:00:00 AM,1.945369067,4.8995584,61.93333333,-0.441759259,-0.362407407,84.45,23.11666667,-2.666666667,0.8
107,01/05/19 10:00:00 AM,1.6160496,3.9518336,58.16666667,-0.338981482,-0.492870371,84.61666667,24.38333333,-2.768518519,0.8
108,01/05/19 11:00:00 AM,1.668949333,4.3988736,57.46666667,0.106481481,-0.250370371,81.58333333,50.43333333,-3.018518519,1
109,01/05/19 12:00:00 PM,1.836589333,4.397383467,56.3,0.443425926,-0.078518519,77.15,62.28333333,-3.601851852,1
