station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],temp_9m_max [degC],temp_9m_min [degC],temp_9m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degC],soil_temp_05cm_min [degC],soil_temp_05cm_avg [degC],soil_temp_25cm_max [degC],soil_temp_25cm_min [degC],soil_temp_25cm_avg [degC],soil_temp_50cm_max [degC],soil_temp_50cm_min [degC],soil_temp_50cm_avg [degC],soil_moisture_05cm_max [m^3/m^3],soil_moisture_05cm_min [m^3/m^3],soil_moisture_05cm_avg [m^3/m^3],soil_moisture_25cm_max [m^3/m^3],soil_moisture_25cm_min [m^3/m^3],soil_moisture_25cm_avg [m^3/m^3],soil_moisture_50cm_max [m^3/m^3],soil_moisture_50cm_min [m^3/m^3],soil_moisture_50cm_avg [m^3/m^3]
GROT,2021-01-01 01:00:00 EST,-0.8,-1.0,-0.9,-0.8,-1.0,-0.9,76.7,74.9,75.9,0.00,1.2,2.6,306.0,1.3,3.2,313.8,0,982.77,982.15,982.40,0,0,0,1.2,1.2,1.2,2.0,2.0,2.0,2.9,2.9,2.9,0.36,0.36,0.36,0.34,0.34,0.34,0.40,0.40,0.40
GROT,2021-01-01 02:00:00 EST,-0.9,-1.2,-1.0,-0.9,-1.1,-0.9,78.5,75.7,76.5,0.00,1.4,2.6,300.8,1.5,2.9,308.3,0,982.90,982.62,982.75,0,0,0,1.2,1.2,1.2,2.0,2.0,2.0,2.9,2.9,2.9,0.36,0.36,0.36,0.34,0.33,0.33,0.40,0.40,0.40
GROT,2021-01-01 03:00:00 EST,-0.9,-1.2,-1.0,-0.9,-1.0,-0.9,77.1,75.6,76.1,0.00,1.0,1.9,301.2,1.2,2.3,309.8,0,983.34,982.99,983.20,0,0,0,1.2,1.2,1.2,2.0,2.0,2.0,2.9,2.9,2.9,0.36,0.36,0.36,0.34,0.33,0.33,0.40,0.40,0.40
GROT,2021-01-01 04:00:00 EST,-0.8,-1.2,-1.0,-0.8,-1.0,-0.9,77.1,74.4,75.6,0.00,0.4,1.4,287.5,0.6,1.6,295.2,0,983.64,983.40,983.50,0,0,0,1.2,1.2,1.2,2.0,2.0,2.0,2.9,2.9,2.9,0.36,0.35,0.35,0.33,0.33,0.33,0.40,0.40,0.40
GROT,2021-01-01 05:00:00 EST,-1.0,-1.7,-1.3,-0.7,-1.5,-1.0,81.9,75.0,78.4,0.00,0.4,1.5,303.5,0.6,1.9,279.1,0,983.61,983.39,983.49,0,0,0,1.2,1.2,1.2,2.0,2.0,2.0,2.9,2.9,2.9,0.35,0.35,0.35,0.33,0.33,0.33,0.40,0.40,0.40
GROT,2021-01-01 06:00:00 EST,-1.3,-1.7,-1.5,-0.9,-1.4,-1.2,82.1,74.9,78.1,0.00,0.7,2.4,82.0,0.8,2.7,86.9,0,983.34,982.95,983.18,0,0,0,1.2,1.2,1.2,2.0,2.0,2.0,2.9,2.9,2.9,0.35,0.35,0.35,0.33,0.33,0.33,0.40,0.40,0.40
GROT,2021-01-01 07:00:00 EST,-1.4,-2.1,-1.8,-1.0,-1.7,-1.4,81.9,75.4,78.0,0.00,0.9,2.5,108.0,1.0,3.0,114.0,0,983.70,982.59,983.19,0,0,0,1.2,1.2,1.2,2.0,2.0,2.0,2.9,2.9,2.9,0.35,0.35,0.35,0.33,0.33,0.33,0.40,0.40,0.40
GROT,2021-01-01 08:00:00 EST,-1.2,-2.2,-1.6,-1.2,-1.9,-1.5,78.7,75.6,76.9,0.00,1.2,2.3,131.4,1.2,2.9,137.6,6,983.86,983.31,983.60,0,0,0,1.2,1.2,1.2,2.0,2.0,2.0,2.9,2.9,2.9,0.35,0.35,0.35,0.33,0.33,0.33,0.40,0.40,0.40
GROT,2021-01-01 09:00:00 EST,-1.6,-2.6,-2.2,-1.8,-2.1,-2.0,80.6,76.3,78.5,0.00,1.1,2.0,119.9,1.1,2.2,125.8,71,983.52,983.24,983.35,0,0,0,1.2,1.1,1.2,2.0,2.0,2.0,2.9,2.9,2.9,0.35,0.35,0.35,0.33,0.33,0.33,0.40,0.40,0.40
GROT,2021-01-01 10:00:00 EST,-0.8,-1.5,-1.1,-1.2,-1.7,-1.4,76.2,70.6,73.8,0.00,1.7,4.4,107.7,1.9,5.1,112.6,148,983.45,982.97,983.18,0,0,0,1.1,1.1,1.1,2.0,2.0,2.0,2.9,2.9,2.9,0.35,0.35,0.35,0.33,0.33,0.33,0.40,0.40,0.40
GROT,2021-01-01 11:00:00 EST,-0.5,-0.8,-0.6,-0.9,-1.2,-1.0,71.6,70.1,70.9,0.00,3.1,6.7,127.0,3.3,7.5,132.5,177,982.97,982.14,982.58,0,0,0,1.1,1.1,1.1,2.0,2.0,2.0,2.9,2.9,2.9,0.35,0.35,0.35,0.33,0.33,0.33,0.40,0.40,0.40
GROT,2021-01-01 12:00:00 EST,-0.2,-0.5,-0.4,-0.6,-0.9,-0.8,71.2,70.2,70.8,0.00,3.0,5.9,120.4,3.2,6.1,125.2,173,981.92,981.09,981.53,0,0,0,1.1,1.1,1.1,2.0,2.0,2.0,2.9,2.9,2.9,0.35,0.35,0.35,0.33,0.33,0.33,0.40,0.40,0.40
