station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],temp_9m_max [degC],temp_9m_min [degC],temp_9m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degC],soil_temp_05cm_min [degC],soil_temp_05cm_avg [degC],soil_temp_25cm_max [degC],soil_temp_25cm_min [degC],soil_temp_25cm_avg [degC],soil_temp_50cm_max [degC],soil_temp_50cm_min [degC],soil_temp_50cm_avg [degC],soil_moisture_05cm_max [m^3/m^3],soil_moisture_05cm_min [m^3/m^3],soil_moisture_05cm_avg [m^3/m^3],soil_moisture_25cm_max [m^3/m^3],soil_moisture_25cm_min [m^3/m^3],soil_moisture_25cm_avg [m^3/m^3],soil_moisture_50cm_max [m^3/m^3],soil_moisture_50cm_min [m^3/m^3],soil_moisture_50cm_avg [m^3/m^3]
GROT,2020-02-01 01:00:00 EST,-0.9,-1.3,-1.0,-1.0,-1.2,-1.0,93.2,91.3,92.3,0.13,0.2,0.8,136.3,0.3,1.0,150.3,0,971.39,970.70,971.08,0,0,0,1.5,1.5,1.5,1.9,1.9,1.9,2.5,2.5,2.5,0.40,0.40,0.40,0.32,0.32,0.32,0.24,0.24,0.24
GROT,2020-02-01 02:00:00 EST,-1.3,-1.5,-1.3,-1.3,-1.4,-1.4,95.4,93.4,94.7,0.00,0.1,0.7,254.6,0.2,0.8,272.4,0,970.68,970.47,970.61,0,0,0,1.5,1.5,1.5,2.0,1.9,1.9,2.5,2.5,2.5,0.40,0.40,0.40,0.32,0.32,0.32,0.24,0.24,0.24
GROT,2020-02-01 03:00:00 EST,-1.4,-1.5,-1.4,-1.4,-1.4,-1.4,96.0,95.4,95.7,0.00,0.0,0.0,180.0,0.0,0.5,338.5,0,970.41,969.79,970.05,0,0,0,1.5,1.5,1.5,2.0,1.9,1.9,2.5,2.5,2.5,0.40,0.40,0.40,0.32,0.32,0.32,0.24,0.24,0.24
GROT,2020-02-01 04:00:00 EST,-1.4,-1.6,-1.5,-1.4,-1.6,-1.5,96.4,96.1,96.2,0.00,0.5,1.1,276.1,0.7,1.3,284.6,0,969.69,969.34,969.48,0,0,0,1.5,1.5,1.5,2.0,1.9,2.0,2.5,2.5,2.5,0.40,0.40,0.40,0.32,0.32,0.32,0.24,0.23,0.24
GROT,2020-02-01 05:00:00 EST,-1.4,-1.9,-1.6,-1.5,-2.0,-1.7,96.1,95.8,95.9,0.00,0.9,2.1,268.9,1.1,2.3,277.0,0,969.33,969.09,969.15,0,0,0,1.5,1.5,1.5,2.0,1.9,2.0,2.5,2.5,2.5,0.40,0.40,0.40,0.32,0.32,0.32,0.24,0.23,0.23
GROT,2020-02-01 06:00:00 EST,-1.9,-2.4,-2.1,-2.0,-2.5,-2.3,96.4,95.7,96.2,0.00,1.9,3.6,304.4,2.0,3.7,311.5,0,969.06,968.80,968.93,0,0,0,1.6,1.5,1.5,2.0,1.9,2.0,2.5,2.5,2.5,0.40,0.40,0.40,0.32,0.32,0.32,0.23,0.23,0.23
GROT,2020-02-01 07:00:00 EST,-2.4,-2.4,-2.4,-2.5,-2.6,-2.6,96.2,95.6,95.9,0.00,1.8,3.3,308.5,1.8,3.4,315.0,0,968.85,968.74,968.79,0,0,0,1.6,1.5,1.5,2.0,2.0,2.0,2.5,2.5,2.5,0.40,0.40,0.40,0.32,0.32,0.32,0.23,0.23,0.23
GROT,2020-02-01 08:00:00 EST,-2.4,-2.5,-2.5,-2.6,-2.7,-2.7,96.5,95.7,96.2,0.00,2.1,3.4,297.7,2.2,3.6,304.9,6,968.97,968.76,968.89,0,0,0,1.6,1.5,1.6,2.0,2.0,2.0,2.5,2.5,2.5,0.40,0.40,0.40,0.32,0.32,0.32,0.23,0.23,0.23
GROT,2020-02-01 09:00:00 EST,-2.5,-2.6,-2.6,-2.7,-2.8,-2.8,95.9,95.5,95.8,0.00,1.8,3.0,299.7,1.9,3.4,306.7,24,968.79,968.33,968.55,0,0,0,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,0.40,0.40,0.40,0.32,0.32,0.32,0.23,0.22,0.23
GROT,2020-02-01 10:00:00 EST,-2.1,-2.5,-2.4,-2.3,-2.7,-2.6,95.3,89.9,93.2,0.00,1.8,3.1,308.2,2.0,3.5,315.2,89,968.29,967.93,968.09,0,0,0,1.6,1.6,1.6,2.0,2.0,2.0,2.5,2.5,2.5,0.40,0.40,0.40,0.32,0.32,0.32,0.23,0.22,0.22
