station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],temp_9m_max [degC],temp_9m_min [degC],temp_9m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degC],soil_temp_05cm_min [degC],soil_temp_05cm_avg [degC],soil_temp_25cm_max [degC],soil_temp_25cm_min [degC],soil_temp_25cm_avg [degC],soil_temp_50cm_max [degC],soil_temp_50cm_min [degC],soil_temp_50cm_avg [degC],soil_moisture_05cm_max [m^3/m^3],soil_moisture_05cm_min [m^3/m^3],soil_moisture_05cm_avg [m^3/m^3],soil_moisture_25cm_max [m^3/m^3],soil_moisture_25cm_min [m^3/m^3],soil_moisture_25cm_avg [m^3/m^3],soil_moisture_50cm_max [m^3/m^3],soil_moisture_50cm_min [m^3/m^3],soil_moisture_50cm_avg [m^3/m^3]
GROT,2019-03-01 01:00:00 EST,-9.6,-9.9,-9.8,-9.6,-9.9,-9.8,78.3,76.8,77.2,0.00,0.8,2.1,108.0,0.9,2.4,108.6,0,976.02,975.43,975.71,0,0,0,0.1,0.1,0.1,0.6,0.6,0.6,1.2,1.2,1.2,0.20,0.20,0.20,0.30,0.30,0.30,0.20,0.20,0.20
GROT,2019-03-01 02:00:00 EST,-8.8,-9.2,-8.9,-8.9,-9.2,-9.0,77.3,72.2,73.3,0.00,1.6,3.1,120.0,1.7,3.4,119.3,0,976.07,975.61,975.86,0,0,0,0.1,0.1,0.1,0.6,0.6,0.6,1.2,1.2,1.2,0.20,0.20,0.20,0.30,0.30,0.30,0.20,0.20,0.20
GROT,2019-03-01 03:00:00 EST,-8.3,-8.8,-8.6,-8.5,-8.9,-8.7,72.4,70.8,71.5,0.00,1.7,3.7,116.6,1.8,4.2,115.3,0,975.65,975.25,975.44,0,0,0,0.1,0.1,0.1,0.6,0.6,0.6,1.2,1.2,1.2,0.20,0.20,0.20,0.30,0.30,0.30,0.20,0.20,0.20
GROT,2019-03-01 04:00:00 EST,-8.3,-8.6,-8.5,-8.4,-8.8,-8.6,87.0,70.6,78.3,0.26,1.6,3.8,126.2,1.7,4.2,125.1,0,975.93,975.49,975.76,0,0,0,0.1,0.1,0.1,0.6,0.6,0.6,1.2,1.2,1.2,0.20,0.20,0.20,0.30,0.30,0.30,0.20,0.20,0.20
GROT,2019-03-01 05:00:00 EST,-8.2,-8.6,-8.4,-8.4,-8.8,-8.6,90.7,88.0,90.0,0.43,1.3,2.6,116.7,1.4,3.1,115.8,0,975.99,975.86,975.93,0,0,0,0.1,0.1,0.1,0.6,0.6,0.6,1.2,1.2,1.2,0.20,0.20,0.20,0.30,0.30,0.30,0.20,0.20,0.20
GROT,2019-03-01 06:00:00 EST,-7.7,-8.5,-8.2,-7.8,-8.4,-8.2,90.7,88.0,89.8,0.07,1.2,3.2,117.9,1.4,4.0,117.6,0,975.98,975.76,975.87,0,0,0,0.1,0.1,0.1,0.6,0.6,0.6,1.2,1.2,1.2,0.20,0.20,0.20,0.30,0.30,0.30,0.20,0.20,0.20
GROT,2019-03-01 07:00:00 EST,-8.5,-9.2,-8.8,-8.1,-8.8,-8.4,90.2,87.2,88.4,0.00,1.0,2.3,121.1,1.1,2.8,121.1,3,976.34,975.79,975.92,0,0,0,0.1,0.1,0.1,0.6,0.6,0.6,1.2,1.2,1.2,0.20,0.20,0.20,0.30,0.30,0.30,0.20,0.20,0.20
GROT,2019-03-01 08:00:00 EST,-7.4,-8.7,-7.8,-7.7,-8.4,-7.9,88.6,83.9,85.3,0.00,1.4,2.7,115.7,1.5,2.9,115.0,30,977.37,976.39,976.87,0,0,0,0.1,0.1,0.1,0.6,0.6,0.6,1.2,1.2,1.2,0.20,0.20,0.20,0.30,0.30,0.30,0.20,0.20,0.20
GROT,2019-03-01 09:00:00 EST,-5.7,-7.8,-6.7,-6.1,-7.8,-7.1,84.1,78.5,81.3,0.00,1.4,3.4,108.4,1.6,3.6,107.5,63,977.39,977.01,977.25,0,0,0,0.1,0.1,0.1,0.6,0.6,0.6,1.2,1.2,1.2,0.20,0.20,0.20,0.30,0.30,0.30,0.20,0.20,0.20
GROT,2019-03-01 10:00:00 EST,-3.5,-5.5,-4.4,-3.9,-5.9,-4.8,77.2,68.3,72.3,0.00,2.1,4.3,128.4,2.2,5.2,127.8,131,977.02,976.53,976.80,0,0,0,0.1,0.1,0.1,0.6,0.6,0.6,1.2,1.2,1.2,0.20,0.20,0.20,0.30,0.30,0.30,0.20,0.20,0.20
