station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],temp_9m_max [degC],temp_9m_min [degC],temp_9m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degC],soil_temp_05cm_min [degC],soil_temp_05cm_avg [degC],soil_temp_25cm_max [degC],soil_temp_25cm_min [degC],soil_temp_25cm_avg [degC],soil_temp_50cm_max [degC],soil_temp_50cm_min [degC],soil_temp_50cm_avg [degC],soil_moisture_05cm_max [m^3/m^3],soil_moisture_05cm_min [m^3/m^3],soil_moisture_05cm_avg [m^3/m^3],soil_moisture_25cm_max [m^3/m^3],soil_moisture_25cm_min [m^3/m^3],soil_moisture_25cm_avg [m^3/m^3],soil_moisture_50cm_max [m^3/m^3],soil_moisture_50cm_min [m^3/m^3],soil_moisture_50cm_avg [m^3/m^3]
GROT,2019-02-01 01:00:00 EST,-17.7,-18.3,-18.0,-17.1,-17.8,-17.5,52.0,49.1,50.7,0.00,2.1,5.3,253.7,2.2,6.0,254.7,0,978.35,977.96,978.23,0,0,0,0.6,0.6,0.6,1.2,1.2,1.2,1.8,1.8,1.8,0.32,0.32,0.32,0.31,0.31,0.31,0.20,0.20,0.20
GROT,2019-02-01 02:00:00 EST,-18.0,-19.2,-18.5,-17.5,-18.4,-18.0,57.1,51.0,54.0,0.00,1.7,4.3,234.6,1.8,5.3,235.8,0,978.55,978.27,978.35,0,0,0,0.6,0.6,0.6,1.2,1.2,1.2,1.8,1.8,1.8,0.32,0.32,0.32,0.31,0.31,0.31,0.20,0.20,0.20
GROT,2019-02-01 03:00:00 EST,-18.3,-19.1,-18.6,-18.1,-18.8,-18.4,55.4,53.3,54.0,0.00,2.9,4.3,235.1,3.0,4.9,235.8,0,978.72,978.62,978.66,0,0,0,0.6,0.6,0.6,1.2,1.2,1.2,1.8,1.8,1.8,0.32,0.32,0.32,0.31,0.31,0.31,0.20,0.20,0.20
GROT,2019-02-01 04:00:00 EST,-18.8,-19.1,-18.9,-18.7,-18.9,-18.7,58.8,55.6,57.6,0.00,3.1,5.2,242.5,3.2,6.5,243.5,0,978.61,978.43,978.54,0,0,0,0.6,0.6,0.6,1.2,1.2,1.2,1.8,1.8,1.8,0.32,0.32,0.32,0.31,0.31,0.31,0.20,0.20,0.20
GROT,2019-02-01 05:00:00 EST,-19.1,-20.4,-19.8,-19.0,-19.5,-19.3,62.7,59.3,61.2,0.00,0.4,2.0,195.6,0.5,2.6,184.9,0,978.84,978.53,978.68,0,0,0,0.6,0.6,0.6,1.2,1.2,1.2,1.8,1.8,1.8,0.32,0.32,0.32,0.31,0.31,0.31,0.20,0.20,0.20
GROT,2019-02-01 06:00:00 EST,-19.4,-20.6,-20.0,-18.8,-19.4,-19.2,63.1,59.4,61.5,0.00,1.0,2.3,213.7,1.1,2.4,213.9,0,978.98,978.78,978.87,0,0,0,0.6,0.6,0.6,1.2,1.2,1.2,1.8,1.8,1.8,0.32,0.31,0.32,0.31,0.31,0.31,0.20,0.20,0.20
GROT,2019-02-01 07:00:00 EST,-19.4,-22.1,-20.7,-18.9,-20.8,-20.1,67.2,59.6,64.1,0.00,0.3,2.4,238.6,0.5,2.4,250.8,0,978.87,978.71,978.75,0,0,0,0.6,0.6,0.6,1.2,1.2,1.2,1.8,1.8,1.8,0.32,0.31,0.32,0.31,0.31,0.31,0.20,0.20,0.20
GROT,2019-02-01 08:00:00 EST,-19.5,-22.9,-21.2,-19.2,-20.9,-20.0,70.0,60.6,66.0,0.00,0.9,2.9,237.9,1.0,3.1,240.1,14,979.18,978.87,979.06,0,0,0,0.6,0.6,0.6,1.2,1.2,1.2,1.8,1.8,1.8,0.31,0.31,0.32,0.31,0.31,0.31,0.20,0.20,0.20
GROT,2019-02-01 09:00:00 EST,-18.0,-21.6,-19.8,-18.1,-20.8,-19.2,70.5,57.3,63.8,0.00,0.9,3.5,221.2,1.0,4.2,225.8,114,979.87,979.15,979.45,0,0,0,0.6,0.6,0.6,1.2,1.2,1.2,1.8,1.8,1.8,0.31,0.31,0.32,0.31,0.31,0.31,0.20,0.20,0.20
GROT,2019-02-01 10:00:00 EST,-16.7,-19.5,-17.7,-16.9,-18.7,-17.7,62.8,56.5,58.4,0.00,1.8,3.9,233.8,2.0,4.0,235.2,192,980.05,979.87,979.95,0,0,0,0.6,0.6,0.6,1.2,1.2,1.2,1.8,1.8,1.8,0.31,0.31,0.32,0.31,0.31,0.31,0.20,0.20,0.20
GROT,2019-02-01 11:00:00 EST,-15.2,-16.6,-15.9,-15.5,-16.8,-16.2,57.0,51.0,54.6,0.00,1.2,2.7,252.8,1.3,3.0,254.4,348,979.89,979.72,979.80,0,0,0,0.6,0.6,0.6,1.2,1.2,1.2,1.8,1.8,1.8,0.31,0.31,0.31,0.31,0.31,0.31,0.20,0.20,0.20
GROT,2019-02-01 12:00:00 EST,-13.4,-15.0,-14.0,-13.7,-15.4,-14.3,51.1,42.2,46.2,0.00,1.3,3.0,244.0,1.5,3.6,245.7,487,979.86,979.23,979.57,0,0,0,0.6,0.6,0.6,1.2,1.2,1.2,1.8,1.8,1.8,0.31,0.31,0.31,0.31,0.31,0.31,0.20,0.20,0.20
GROT,2019-02-01 13:00:00 EST,-12.1,-13.2,-12.7,-12.6,-13.6,-13.0,42.8,38.2,39.9,0.00,1.5,2.9,242.6,1.6,3.5,243.9,506,979.15,978.49,978.74,0,0,0,0.6,0.6,0.6,1.2,1.2,1.2,1.8,1.8,1.8,0.31,0.31,0.31,0.31,0.31,0.31,0.20,0.20,0.20
GROT,2019-02-01 14:00:00 EST,-11.7,-12.3,-12.0,-11.9,-12.6,-12.2,39.0,35.0,36.9,0.00,1.8,4.0,275.3,2.0,4.7,277.0,477,978.47,978.03,978.29,0,0,0,0.6,0.6,0.6,1.2,1.2,1.2,1.8,1.8,1.8,0.31,0.31,0.31,0.31,0.31,0.31,0.20,0.20,0.20
