station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],temp_9m_max [degC],temp_9m_min [degC],temp_9m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degC],soil_temp_05cm_min [degC],soil_temp_05cm_avg [degC],soil_temp_25cm_max [degC],soil_temp_25cm_min [degC],soil_temp_25cm_avg [degC],soil_temp_50cm_max [degC],soil_temp_50cm_min [degC],soil_temp_50cm_avg [degC],soil_moisture_05cm_max [m^3/m^3],soil_moisture_05cm_min [m^3/m^3],soil_moisture_05cm_avg [m^3/m^3],soil_moisture_25cm_max [m^3/m^3],soil_moisture_25cm_min [m^3/m^3],soil_moisture_25cm_avg [m^3/m^3],soil_moisture_50cm_max [m^3/m^3],soil_moisture_50cm_min [m^3/m^3],soil_moisture_50cm_avg [m^3/m^3]
GROT,2019-04-01 01:00:00 EDT,-4.1,-4.7,-4.3,-4.2,-4.9,-4.5,79.3,72.7,75.1,0.07,6.6,13.2,285.0,7.0,13.8,284.5,0,970.16,969.50,969.84,0,0,0,2.6,2.5,2.6,3.2,3.2,3.2,3.2,3.2,3.2,0.31,0.31,0.31,0.32,0.32,0.32,0.22,0.22,0.22
GROT,2019-04-01 02:00:00 EDT,-4.8,-5.4,-5.1,-5.0,-5.6,-5.3,88.3,80.7,85.6,0.43,6.3,12.3,286.5,6.7,13.0,286.0,0,970.69,970.19,970.49,0,0,0,2.5,2.4,2.4,3.2,3.1,3.1,3.2,3.2,3.2,0.31,0.31,0.31,0.32,0.32,0.32,0.22,0.22,0.22
GROT,2019-04-01 03:00:00 EDT,-5.4,-5.5,-5.5,-5.6,-5.7,-5.6,92.1,87.6,90.6,0.77,5.2,10.6,284.4,5.6,11.0,284.2,0,970.98,970.72,970.88,0,0,0,2.4,2.3,2.4,3.1,3.0,3.1,3.2,3.2,3.2,0.31,0.31,0.31,0.32,0.32,0.32,0.22,0.22,0.22
GROT,2019-04-01 04:00:00 EDT,-5.3,-5.4,-5.4,-5.4,-5.6,-5.6,93.7,90.0,92.4,0.84,5.4,10.4,282.0,5.9,10.5,281.7,0,971.36,970.99,971.18,0,0,0,2.3,2.2,2.3,3.0,3.0,3.0,3.2,3.2,3.2,0.31,0.31,0.31,0.32,0.31,0.32,0.22,0.22,0.22
GROT,2019-04-01 05:00:00 EDT,-5.1,-5.3,-5.2,-5.3,-5.5,-5.3,91.8,87.0,89.3,0.37,5.9,11.0,287.0,6.3,12.5,286.4,0,971.94,971.40,971.68,0,0,0,2.2,2.2,2.2,3.0,2.9,2.9,3.2,3.1,3.2,0.31,0.31,0.31,0.32,0.31,0.31,0.22,0.22,0.22
GROT,2019-04-01 06:00:00 EDT,-5.1,-5.1,-5.1,-5.3,-5.3,-5.3,91.7,89.2,90.6,0.37,6.4,13.4,292.1,6.7,14.7,291.7,0,972.76,972.00,972.43,0,0,0,2.2,2.2,2.2,2.9,2.9,2.9,3.1,3.1,3.1,0.31,0.31,0.31,0.31,0.31,0.31,0.22,0.22,0.22
GROT,2019-04-01 07:00:00 EDT,-5.1,-5.1,-5.1,-5.2,-5.3,-5.2,89.1,86.0,87.4,0.13,6.2,13.4,293.8,6.5,13.8,292.8,1,973.50,972.82,973.15,0,0,0,2.2,2.1,2.1,2.9,2.9,2.9,3.1,3.1,3.1,0.31,0.31,0.31,0.31,0.31,0.32,0.22,0.22,0.22
GROT,2019-04-01 08:00:00 EDT,-5.1,-5.3,-5.2,-5.3,-5.4,-5.4,94.0,89.0,91.7,0.44,5.5,11.6,287.7,5.8,11.6,286.9,35,974.58,973.60,974.13,0,0,0,2.1,2.1,2.1,2.9,2.8,2.9,3.1,3.1,3.1,0.31,0.31,0.31,0.31,0.31,0.32,0.22,0.22,0.22
GROT,2019-04-01 09:00:00 EDT,-4.6,-5.2,-5.0,-4.7,-5.4,-5.1,89.9,78.9,83.4,0.00,6.2,11.4,288.3,6.6,12.8,287.4,149,975.30,974.67,975.02,0,0,0,2.1,2.1,2.1,2.8,2.8,2.8,3.1,3.0,3.1,0.31,0.31,0.31,0.31,0.31,0.32,0.22,0.22,0.22
GROT,2019-04-01 10:00:00 EDT,-3.9,-4.5,-4.3,-4.1,-4.7,-4.5,79.2,75.9,77.5,0.00,6.1,12.1,298.4,6.4,12.3,297.9,303,976.34,975.42,975.97,0,0,0,2.1,2.0,2.0,2.8,2.8,2.8,3.0,3.0,3.0,0.31,0.31,0.31,0.31,0.31,0.32,0.22,0.22,0.22
