station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],temp_9m_max [degC],temp_9m_min [degC],temp_9m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degC],soil_temp_05cm_min [degC],soil_temp_05cm_avg [degC],soil_temp_25cm_max [degC],soil_temp_25cm_min [degC],soil_temp_25cm_avg [degC],soil_temp_50cm_max [degC],soil_temp_50cm_min [degC],soil_temp_50cm_avg [degC],soil_moisture_05cm_max [m^3/m^3],soil_moisture_05cm_min [m^3/m^3],soil_moisture_05cm_avg [m^3/m^3],soil_moisture_25cm_max [m^3/m^3],soil_moisture_25cm_min [m^3/m^3],soil_moisture_25cm_avg [m^3/m^3],soil_moisture_50cm_max [m^3/m^3],soil_moisture_50cm_min [m^3/m^3],soil_moisture_50cm_avg [m^3/m^3]
GROT,2020-11-01 01:00:00 EDT,1.4,0.8,1.1,1.4,1.0,1.2,78.5,77.1,77.8,0.00,2.7,8.3,151.2,3.0,9.0,158.3,0,976.17,975.50,975.77,0,0,0,7.0,6.9,7.0,8.8,8.6,8.8,9.9,9.9,9.9,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-01 01:00:00 EST,1.4,0.9,1.2,1.4,1.0,1.3,80.1,77.5,78.4,0.00,2.9,6.8,152.9,3.3,7.8,160.1,0,975.42,974.53,975.08,0,0,0,6.9,6.7,6.8,8.6,8.6,8.6,9.9,9.9,9.9,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-01 02:00:00 EST,1.4,1.1,1.2,1.5,1.2,1.3,81.7,79.9,80.7,0.00,3.0,7.3,149.2,3.3,8.4,156.7,0,974.38,973.55,974.07,0,0,0,6.7,6.6,6.7,8.6,8.5,8.6,9.9,9.9,9.9,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-01 03:00:00 EST,2.6,1.5,2.1,2.6,1.5,2.2,81.9,81.0,81.5,0.00,2.9,9.6,162.3,3.3,10.9,169.3,0,973.50,972.39,972.87,0,0,0,6.6,6.6,6.6,8.5,8.5,8.5,9.9,9.9,9.9,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-01 04:00:00 EST,3.0,2.7,2.8,3.0,2.7,2.8,81.8,80.6,81.2,0.00,3.0,10.3,157.9,3.4,10.8,165.3,0,972.29,970.92,971.67,0,0,0,6.6,6.6,6.6,8.5,8.4,8.5,9.9,9.8,9.8,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-01 05:00:00 EST,3.6,2.9,3.2,3.6,2.9,3.2,82.0,81.3,81.7,0.00,3.1,8.8,158.0,3.5,9.0,164.9,0,970.82,969.78,970.41,0,0,0,6.6,6.6,6.6,8.4,8.4,8.4,9.8,9.8,9.8,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-01 06:00:00 EST,4.0,3.6,3.7,4.0,3.5,3.7,82.7,81.5,82.2,0.00,3.2,9.0,155.9,3.6,10.2,162.7,0,969.62,968.61,969.16,0,0,0,6.6,6.6,6.6,8.4,8.4,8.4,9.8,9.8,9.8,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-01 07:00:00 EST,4.7,4.0,4.4,4.6,4.0,4.3,82.5,81.8,82.1,0.00,3.1,7.8,165.8,3.5,9.3,173.1,2,968.45,967.34,967.95,0,0,0,6.6,6.6,6.6,8.4,8.3,8.4,9.8,9.8,9.8,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-01 08:00:00 EST,5.4,4.8,5.1,5.3,4.6,4.9,82.0,81.4,81.8,0.00,3.7,9.1,166.6,4.1,10.8,173.9,25,967.30,966.49,966.89,0,0,0,6.7,6.6,6.6,8.3,8.3,8.3,9.8,9.8,9.8,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-01 09:00:00 EST,6.5,5.5,6.0,6.2,5.3,5.7,81.6,78.8,79.9,0.00,3.7,10.9,165.3,4.2,13.2,172.1,138,966.30,965.05,965.79,0,0,0,6.9,6.7,6.8,8.3,8.3,8.3,9.8,9.7,9.7,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-01 10:00:00 EST,7.4,6.6,7.0,7.0,6.3,6.7,78.2,77.0,77.7,0.00,4.1,10.6,162.2,4.6,13.3,168.6,189,964.86,963.04,963.89,0,0,0,7.1,6.9,7.0,8.3,8.3,8.3,9.7,9.7,9.7,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-01 11:00:00 EST,8.5,7.4,7.8,7.8,7.1,7.4,78.0,74.4,76.4,0.07,3.8,10.0,159.2,4.3,10.6,166.8,201,962.80,961.47,962.10,0,0,0,7.3,7.1,7.2,8.3,8.3,8.3,9.7,9.7,9.7,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-01 12:00:00 EST,7.8,7.3,7.5,7.6,7.1,7.3,85.2,77.1,80.7,0.00,3.4,9.4,162.4,3.8,10.0,170.1,77,961.50,959.77,960.68,0,0,0,7.5,7.3,7.4,8.3,8.3,8.3,9.7,9.7,9.7,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.17,0.17
GROT,2020-11-01 13:00:00 EST,7.8,7.3,7.6,7.7,7.1,7.4,85.3,82.7,83.6,0.06,3.7,9.6,170.2,4.1,10.4,177.8,80,959.71,958.67,959.20,0,0,0,7.6,7.5,7.5,8.4,8.3,8.3,9.7,9.6,9.7,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.17,0.17
GROT,2020-11-01 14:00:00 EST,7.7,7.4,7.5,7.5,7.3,7.4,88.0,83.7,86.3,0.21,3.0,9.1,177.9,3.4,9.9,185.0,24,958.69,957.71,958.15,0,0,0,7.7,7.6,7.6,8.4,8.4,8.4,9.7,9.6,9.6,0.25,0.25,0.25,0.25,0.25,0.25,0.17,0.17,0.17
GROT,2020-11-01 15:00:00 EST,7.3,7.0,7.2,7.2,6.9,7.0,94.3,89.6,92.9,1.04,2.6,8.6,198.7,2.9,9.7,205.2,25,958.03,957.67,957.92,0,0,0,7.7,7.7,7.7,8.4,8.4,8.4,9.6,9.6,9.6,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.17,0.17
GROT,2020-11-01 16:00:00 EST,7.3,2.6,3.9,7.1,2.5,3.8,94.6,87.6,92.4,2.41,5.6,12.4,290.9,5.9,13.0,296.2,21,960.17,957.90,959.74,0,0,0,7.7,7.7,7.7,8.4,8.4,8.4,9.6,9.6,9.6,0.25,0.25,0.25,0.25,0.25,0.25,0.17,0.17,0.17
GROT,2020-11-01 17:00:00 EST,3.7,3.5,3.5,3.6,3.5,3.5,91.8,89.0,90.4,0.00,2.6,5.4,257.5,2.9,6.1,265.3,8,960.72,960.13,960.54,0,0,0,7.7,7.6,7.7,8.5,8.4,8.5,9.6,9.6,9.6,0.26,0.25,0.26,0.25,0.25,0.25,0.18,0.17,0.17
GROT,2020-11-01 18:00:00 EST,3.5,2.9,3.2,3.5,3.1,3.3,89.9,86.3,87.8,0.00,3.3,6.1,251.1,3.6,7.7,259.1,0,961.37,960.75,961.01,0,0,0,7.6,7.5,7.6,8.5,8.5,8.5,9.6,9.6,9.6,0.26,0.26,0.26,0.25,0.25,0.25,0.17,0.17,0.17
GROT,2020-11-01 19:00:00 EST,3.4,2.7,3.1,3.4,2.8,3.1,89.4,84.0,87.0,0.30,5.8,12.1,265.4,6.3,13.0,272.0,0,961.82,961.49,961.64,0,0,0,7.5,7.5,7.5,8.5,8.5,8.5,9.6,9.6,9.6,0.26,0.26,0.26,0.25,0.25,0.25,0.17,0.17,0.17
GROT,2020-11-01 20:00:00 EST,2.7,1.3,2.2,2.8,1.2,2.2,86.5,81.4,83.4,0.11,6.6,11.7,278.1,7.1,12.5,284.1,0,962.25,961.64,961.90,0,0,0,7.5,7.4,7.5,8.5,8.5,8.5,9.6,9.6,9.6,0.26,0.26,0.26,0.25,0.25,0.25,0.18,0.17,0.17
GROT,2020-11-01 21:00:00 EST,1.3,-0.4,0.4,1.3,-0.4,0.3,90.4,72.4,83.1,0.04,6.2,15.7,284.8,6.6,18.3,290.1,0,962.52,962.11,962.25,0,0,0,7.4,7.3,7.3,8.5,8.5,8.5,9.6,9.6,9.6,0.26,0.26,0.26,0.25,0.25,0.25,0.18,0.17,0.17
GROT,2020-11-01 22:00:00 EST,-0.3,-0.5,-0.4,-0.2,-0.4,-0.3,88.3,85.7,87.2,0.00,4.1,7.8,262.3,4.5,8.2,269.4,0,962.21,961.66,961.89,0,0,0,7.3,7.2,7.2,8.5,8.4,8.4,9.6,9.6,9.6,0.26,0.26,0.26,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-01 23:00:00 EST,0.1,-0.6,-0.3,0.1,-0.4,-0.2,84.7,80.4,82.7,0.00,4.2,7.3,255.9,4.6,8.4,263.6,0,961.58,960.95,961.22,0,0,0,7.2,7.0,7.1,8.4,8.4,8.4,9.6,9.6,9.6,0.26,0.26,0.26,0.25,0.25,0.25,0.17,0.17,0.17
GROT,2020-11-02 00:00:00 EST,0.5,0.1,0.3,0.5,0.1,0.2,81.3,78.9,80.3,0.00,5.6,10.7,260.1,6.1,11.7,267.4,0,960.91,960.02,960.45,0,0,0,7.0,6.9,7.0,8.4,8.4,8.4,9.6,9.6,9.6,0.26,0.26,0.26,0.25,0.25,0.25,0.17,0.17,0.17
GROT,2020-11-02 01:00:00 EST,0.7,0.4,0.5,0.6,0.4,0.5,80.4,77.6,78.9,0.00,5.7,10.5,263.5,6.2,11.6,270.0,0,959.96,959.21,959.53,0,0,0,6.9,6.9,6.9,8.4,8.3,8.4,9.6,9.6,9.6,0.26,0.26,0.26,0.25,0.25,0.25,0.17,0.17,0.17
GROT,2020-11-02 02:00:00 EST,0.7,0.4,0.6,0.7,0.4,0.5,83.9,78.1,81.2,0.24,5.8,10.9,270.7,6.3,11.4,276.7,0,959.18,958.98,959.06,0,0,0,6.9,6.7,6.8,8.3,8.3,8.3,9.6,9.6,9.6,0.26,0.26,0.26,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-02 03:00:00 EST,0.6,0.1,0.4,0.5,-0.0,0.3,94.8,83.1,92.0,0.56,7.0,13.8,289.0,7.4,15.5,294.5,0,959.45,959.19,959.28,0,0,0,6.7,6.6,6.7,8.3,8.2,8.3,9.6,9.6,9.6,0.26,0.26,0.26,0.25,0.25,0.25,0.18,0.18,0.18
GROT,2020-11-02 04:00:00 EST,0.3,-0.8,-0.2,0.1,-0.9,-0.4,96.3,93.0,94.4,1.43,8.4,16.3,299.4,8.7,16.5,305.4,0,960.52,959.37,959.80,0,0,0,6.6,6.6,6.6,8.2,8.2,8.2,9.5,9.5,9.5,0.26,0.26,0.26,0.25,0.25,0.25,0.18,0.18,0.18
GROT,2020-11-02 05:00:00 EST,-0.9,-1.3,-1.1,-1.1,-1.5,-1.3,96.4,93.9,95.3,1.40,8.1,16.4,304.3,8.3,17.0,310.3,0,961.52,960.62,961.04,0,0,0,6.6,6.4,6.5,8.2,8.2,8.2,9.5,9.5,9.5,0.26,0.26,0.26,0.25,0.25,0.25,0.18,0.18,0.18
GROT,2020-11-02 06:00:00 EST,-1.4,-1.9,-1.6,-1.6,-2.1,-1.8,94.0,93.3,93.7,0.34,8.7,17.4,298.3,8.9,17.0,304.5,0,962.88,961.63,962.25,0,0,0,6.4,6.4,6.4,8.2,8.1,8.1,9.5,9.5,9.5,0.26,0.26,0.26,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-02 07:00:00 EST,-2.0,-2.6,-2.2,-2.2,-2.7,-2.4,94.0,91.8,92.9,0.42,8.7,17.3,301.1,9.0,17.6,306.4,1,963.75,963.00,963.34,0,0,0,6.4,6.3,6.3,8.1,8.0,8.1,9.5,9.5,9.5,0.26,0.26,0.26,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-02 08:00:00 EST,-2.6,-3.2,-2.8,-2.8,-3.4,-3.0,92.5,90.8,91.7,0.50,9.1,16.4,298.7,9.4,17.3,304.8,29,965.13,963.86,964.49,0,0,0,6.3,6.2,6.3,8.0,8.0,8.0,9.5,9.5,9.5,0.26,0.26,0.26,0.25,0.25,0.25,0.17,0.17,0.17
GROT,2020-11-02 09:00:00 EST,-2.7,-3.3,-3.1,-2.9,-3.4,-3.2,90.4,74.0,83.6,0.29,9.1,17.1,301.8,9.4,18.4,307.0,101,966.01,965.23,965.70,0,0,0,6.2,6.2,6.2,8.0,8.0,8.0,9.4,9.3,9.3,0.26,0.26,0.26,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-02 10:00:00 EST,-2.7,-3.2,-2.9,-2.9,-3.4,-3.1,84.9,76.8,81.2,0.23,8.4,15.0,300.7,8.7,15.4,306.3,153,966.55,966.02,966.29,0,0,0,6.2,6.2,6.2,8.0,7.8,7.8,9.3,9.3,9.3,0.26,0.26,0.26,0.25,0.25,0.25,0.18,0.17,0.18
GROT,2020-11-02 11:00:00 EST,-2.0,-2.9,-2.4,-2.2,-3.0,-2.6,76.9,68.7,71.0,0.00,9.1,18.6,305.5,9.4,18.4,311.2,298,966.60,966.38,966.48,0,0,0,6.2,6.2,6.2,7.8,7.8,7.8,9.3,9.3,9.3,0.26,0.26,0.26,0.25,0.25,0.25,0.18,0.18,0.18
GROT,2020-11-02 12:00:00 EST,-0.4,-1.9,-1.2,-0.6,-2.1,-1.4,69.8,63.6,67.2,0.00,7.9,14.4,298.9,8.2,15.3,304.7,360,966.47,966.03,966.23,0,0,0,6.3,6.2,6.2,7.8,7.7,7.8,9.3,9.3,9.3,0.26,0.26,0.26,0.25,0.25,0.25,0.18,0.18,0.18
GROT,2020-11-02 13:00:00 EST,0.5,-0.4,-0.1,0.2,-0.6,-0.3,62.1,58.5,60.4,0.00,8.8,17.1,294.5,9.2,17.2,299.8,427,966.29,966.06,966.21,0,0,0,6.3,6.2,6.2,7.7,7.7,7.7,9.3,9.3,9.3,0.26,0.26,0.26,0.25,0.25,0.25,0.18,0.18,0.18
GROT,2020-11-02 14:00:00 EST,0.6,0.0,0.3,0.4,-0.1,0.1,58.9,56.9,58.0,0.00,7.5,15.0,290.3,7.8,16.0,296.1,275,966.35,966.10,966.20,0,0,0,6.2,6.2,6.2,7.7,7.7,7.7,9.3,9.2,9.2,0.26,0.26,0.26,0.25,0.25,0.25,0.18,0.18,0.18
