station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],temp_9m_max [degC],temp_9m_min [degC],temp_9m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degC],soil_temp_05cm_min [degC],soil_temp_05cm_avg [degC],soil_temp_25cm_max [degC],soil_temp_25cm_min [degC],soil_temp_25cm_avg [degC],soil_temp_50cm_max [degC],soil_temp_50cm_min [degC],soil_temp_50cm_avg [degC],soil_moisture_05cm_max [m^3/m^3],soil_moisture_05cm_min [m^3/m^3],soil_moisture_05cm_avg [m^3/m^3],soil_moisture_25cm_max [m^3/m^3],soil_moisture_25cm_min [m^3/m^3],soil_moisture_25cm_avg [m^3/m^3],soil_moisture_50cm_max [m^3/m^3],soil_moisture_50cm_min [m^3/m^3],soil_moisture_50cm_avg [m^3/m^3]
GROT,2020-04-01 01:00:00 EDT,5.4,5.0,5.2,5.3,5.0,5.1,87.1,79.0,84.3,0.00,2.1,4.1,71.9,2.4,4.9,77.4,0,965.97,965.49,965.68,0,0,0,6.1,6.0,6.0,5.8,5.7,5.8,5.2,5.2,5.2,0.46,0.46,0.46,0.47,0.47,0.47,0.38,0.38,0.38
GROT,2020-04-01 02:00:00 EDT,5.0,4.5,4.7,5.0,4.4,4.7,78.7,75.5,76.9,0.00,1.6,3.7,87.2,1.8,4.3,92.4,0,965.40,965.15,965.27,0,0,0,6.0,5.9,5.9,5.7,5.7,5.7,5.2,5.2,5.2,0.46,0.46,0.46,0.47,0.47,0.47,0.38,0.38,0.38
GROT,2020-04-01 03:00:00 EDT,4.5,4.1,4.3,4.4,4.1,4.3,74.9,72.8,74.1,0.00,1.5,4.6,104.0,1.6,4.4,109.4,0,965.11,964.48,964.86,0,0,0,5.8,5.8,5.8,5.7,5.6,5.7,5.3,5.2,5.2,0.46,0.46,0.46,0.47,0.47,0.47,0.38,0.38,0.38
GROT,2020-04-01 04:00:00 EDT,4.1,3.8,4.0,4.1,3.8,3.9,73.8,72.2,72.9,0.00,1.4,4.1,90.2,1.6,4.8,95.2,0,964.39,964.23,964.31,0,0,0,5.8,5.6,5.7,5.6,5.6,5.6,5.3,5.2,5.3,0.46,0.46,0.46,0.47,0.47,0.47,0.38,0.38,0.38
GROT,2020-04-01 05:00:00 EDT,3.8,3.6,3.7,3.8,3.7,3.7,73.9,71.4,72.5,0.00,0.8,2.1,121.9,0.9,2.2,129.8,0,964.24,963.87,964.06,0,0,0,5.6,5.5,5.6,5.6,5.6,5.6,5.3,5.3,5.3,0.46,0.46,0.46,0.47,0.47,0.47,0.38,0.38,0.38
GROT,2020-04-01 06:00:00 EDT,3.6,3.0,3.3,3.7,3.0,3.4,80.0,73.6,77.4,0.00,0.4,1.2,1.7,0.5,1.3,7.3,0,963.88,963.74,963.81,0,0,0,5.5,5.5,5.5,5.6,5.5,5.5,5.3,5.3,5.3,0.47,0.46,0.46,0.47,0.47,0.47,0.38,0.38,0.38
GROT,2020-04-01 07:00:00 EDT,3.3,3.0,3.1,3.3,3.0,3.2,79.3,76.7,78.4,0.00,0.5,1.3,14.5,0.7,1.7,18.0,1,964.20,963.86,964.00,0,0,0,5.5,5.4,5.4,5.5,5.5,5.5,5.3,5.3,5.3,0.47,0.46,0.46,0.47,0.47,0.47,0.38,0.38,0.38
GROT,2020-04-01 08:00:00 EDT,3.4,3.0,3.2,3.3,2.9,3.1,80.3,77.2,78.5,0.00,0.7,2.8,36.2,0.9,3.3,39.1,43,964.67,964.26,964.49,0,0,0,5.4,5.3,5.3,5.5,5.4,5.4,5.3,5.3,5.3,0.47,0.47,0.47,0.47,0.47,0.47,0.38,0.38,0.38
GROT,2020-04-01 09:00:00 EDT,5.2,3.5,4.4,4.4,3.3,3.9,76.9,68.6,72.5,0.00,1.2,4.6,23.4,1.4,4.9,26.3,244,964.66,964.29,964.49,0,0,0,5.4,5.3,5.3,5.4,5.4,5.4,5.3,5.3,5.3,0.47,0.46,0.46,0.47,0.47,0.47,0.38,0.38,0.38
GROT,2020-04-01 10:00:00 EDT,4.7,4.4,4.6,4.3,3.9,4.1,83.4,69.3,79.0,0.00,2.7,4.6,312.0,2.9,5.1,319.0,178,964.57,964.33,964.44,0,0,0,5.6,5.4,5.5,5.4,5.4,5.4,5.3,5.3,5.3,0.45,0.45,0.45,0.47,0.47,0.47,0.38,0.38,0.38
