station,time_end,temp_2m_max [degC],temp_2m_min [degC],temp_2m_avg [degC],temp_9m_max [degC],temp_9m_min [degC],temp_9m_avg [degC],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],precip_incremental [mm],wind_speed_prop_avg [m/s],wind_speed_prop_max [m/s],wind_direction_prop_avg [degrees],wind_speed_sonic_avg [m/s],wind_speed_sonic_max [m/s],wind_direction_sonic_avg [degrees],solar_insolation_avg [W/m^2],station_pressure_max [mbar],station_pressure_min [mbar],station_pressure_avg [mbar],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degC],soil_temp_05cm_min [degC],soil_temp_05cm_avg [degC],soil_temp_25cm_max [degC],soil_temp_25cm_min [degC],soil_temp_25cm_avg [degC],soil_temp_50cm_max [degC],soil_temp_50cm_min [degC],soil_temp_50cm_avg [degC],soil_moisture_05cm_max [m^3/m^3],soil_moisture_05cm_min [m^3/m^3],soil_moisture_05cm_avg [m^3/m^3],soil_moisture_25cm_max [m^3/m^3],soil_moisture_25cm_min [m^3/m^3],soil_moisture_25cm_avg [m^3/m^3],soil_moisture_50cm_max [m^3/m^3],soil_moisture_50cm_min [m^3/m^3],soil_moisture_50cm_avg [m^3/m^3]
GROT,2019-11-01 01:00:00 EDT,12.3,9.3,10.6,12.4,9.4,10.7,80.6,68.8,74.9,0.14,8.0,15.7,245.6,8.5,16.1,253.1,0,954.63,953.56,954.14,0,0,0,13.1,13.0,13.0,12.1,12.1,12.1,11.7,11.7,11.7,0.46,0.46,0.46,0.48,0.48,0.48,0.43,0.43,0.43
GROT,2019-11-01 02:00:00 EDT,9.0,6.6,7.8,9.1,6.7,7.9,67.6,58.5,62.5,0.00,8.3,17.4,243.5,8.7,18.1,251.0,0,956.72,954.13,955.71,0,0,0,13.0,12.7,12.8,12.1,12.1,12.1,11.7,11.7,11.7,0.46,0.46,0.46,0.48,0.48,0.48,0.43,0.43,0.43
GROT,2019-11-01 03:00:00 EDT,6.6,5.3,5.8,6.6,5.3,5.9,63.8,60.5,61.9,0.00,9.5,20.3,246.4,9.9,21.2,253.4,0,957.24,956.31,956.81,0,0,0,12.6,12.1,12.3,12.3,12.3,12.3,11.9,11.7,11.8,0.46,0.46,0.46,0.48,0.48,0.48,0.43,0.43,0.43
GROT,2019-11-01 04:00:00 EDT,5.2,4.3,4.5,5.2,4.3,4.6,65.2,62.2,63.5,0.00,8.9,16.1,245.8,9.3,18.4,253.5,0,958.37,957.34,957.74,0,0,0,12.0,11.6,11.8,12.3,12.1,12.3,11.9,11.9,11.9,0.46,0.46,0.46,0.48,0.48,0.48,0.43,0.43,0.43
GROT,2019-11-01 05:00:00 EDT,4.4,4.3,4.3,4.4,4.3,4.3,67.1,65.1,66.0,0.00,7.4,15.1,253.2,7.9,15.7,260.0,0,960.01,958.45,959.23,0,0,0,11.6,11.2,11.4,12.1,12.1,12.1,11.9,11.9,11.9,0.46,0.46,0.46,0.48,0.48,0.48,0.43,0.43,0.43
GROT,2019-11-01 06:00:00 EDT,4.6,3.7,4.2,4.5,3.7,4.2,69.6,64.6,66.8,0.00,10.3,18.1,263.8,10.8,19.5,270.1,0,962.15,960.22,961.28,0,0,0,11.2,11.0,11.1,12.1,12.0,12.1,11.9,11.9,11.9,0.46,0.46,0.46,0.48,0.48,0.48,0.43,0.43,0.43
GROT,2019-11-01 07:00:00 EDT,3.9,3.6,3.8,3.9,3.6,3.8,69.9,65.2,67.9,0.00,9.5,18.4,260.7,10.0,19.3,267.1,0,963.99,962.22,963.05,0,0,0,11.0,10.8,10.8,12.0,11.9,12.0,11.9,11.9,11.9,0.46,0.46,0.46,0.48,0.48,0.48,0.43,0.43,0.43
GROT,2019-11-01 08:00:00 EDT,4.0,3.8,3.9,4.0,3.8,3.9,68.6,64.3,65.9,0.00,7.6,16.3,271.8,8.0,16.6,277.6,1,966.33,964.10,965.10,0,0,0,10.7,10.6,10.7,11.9,11.8,11.9,11.9,11.9,11.9,0.46,0.46,0.46,0.48,0.48,0.48,0.43,0.43,0.43
GROT,2019-11-01 09:00:00 EDT,3.9,3.6,3.7,3.9,3.6,3.7,65.9,63.2,64.5,0.00,9.2,16.8,273.7,9.6,19.1,279.7,23,967.64,966.61,967.16,0,0,0,10.6,10.4,10.6,11.7,11.7,11.7,11.9,11.9,11.9,0.46,0.46,0.46,0.49,0.48,0.48,0.43,0.43,0.43
GROT,2019-11-01 10:00:00 EDT,4.1,3.8,3.9,3.8,3.6,3.7,64.7,62.3,63.4,0.00,8.3,15.1,284.7,8.7,17.5,290.1,112,968.57,967.78,968.25,0,0,0,10.4,10.3,10.3,11.7,11.6,11.6,11.9,11.9,11.9,0.47,0.46,0.46,0.49,0.48,0.49,0.43,0.43,0.43
