Plot Title: DL1
#,"Date Time, GMT-05:00","Pressure, in Hg (LGR S/N: 20098500, SEN S/N: 10751992)","Temp, °C (LGR S/N: 20098520, SEN S/N: 10762331, LBL: Tamb)","RH, % (LGR S/N: 21098500, SEN S/N: 10263331)","Solar Radiation, W/m² (LGR S/N: 20034090, SEN S/N: 23073988)","MRT, °C (LGR S/N: 20098500, SEN S/N: 20496099, LBL: MRT schwarz)","Wind Speed, mph (LGR S/N: 20198500, SEN S/N: 21706789)","Gust Speed, mph (LGR S/N: 20178500, SEN S/N: 23706789)","Wind Direction, ø (LGR S/N: 20198500, SEN S/N: 21706789)","DewPoint, °C (LGR S/N: 20095520, SEN S/N: 10732331, LBL: Tamb)","SkyCover, Fraction (LGR S/N: 20095520, SEN S/N: 10732331, LBL: Tamb)"
35,01/02/19 10:00:00 AM,29.01613333,3.852592593,66.76666667,104.8,4.713796296,7.47,12.08,175.5333333,-1.740740741,1
36,01/02/19 11:00:00 AM,28.9896,6.586851852,56.15,98.11666667,8.75,6.223333333,10.71166667,176.7,-1.518518519,1
37,01/02/19 12:00:00 PM,28.94333333,8.915092593,46.18333333,125.2,10.31101852,4.983333333,10.08666667,186.5333333,-2.046296296,1
38,01/02/19 01:00:00 PM,28.93105,8.559814815,44,81.45,9.026574074,6.223333333,10.58666667,178.8,-2.981481481,1
39,01/02/19 02:00:00 PM,28.9261,8.02,48.11666667,76.46666667,8.302962963,5.723333333,9.463333333,173.1833333,-2.287037037,1
40,01/02/19 03:00:00 PM,28.91033333,7.706944444,47.93333333,40.63333333,7.769444444,6.35,10.83666667,165.8666667,-2.601851852,1
41,01/02/19 04:00:00 PM,28.91281667,6.796203704,48.13333333,5.416666667,6.682222222,7.716666667,13.94666667,169.8666667,-3.398148148,1
42,01/02/19 05:00:00 PM,28.91918333,6.229537037,50.46666667,0.6,5.979074074,5.973333333,10.83666667,171.5166667,-3.296296296,1
43,01/02/19 06:00:00 PM,28.9266,5.940648148,51.18333333,0.6,5.577777778,3.86,8.84,173.3833333,-3.351851852,1
44,01/02/19 07:00:00 PM,28.94971667,5.457962963,53.78333333,0.6,5.256481481,7.59,11.96,173.8666667,-3.157407407,1
45,01/02/19 08:00:00 PM,28.94383333,5.393611111,55.85,0.6,5.119259259,6.846666667,11.21,175.3,-2.703703704,1
46,01/02/19 09:00:00 PM,28.95318333,5.234722222,56.81666667,0.6,4.882037037,4.358333333,7.593333333,181.85,-2.611111111,1
