Plot Title: Parking Lot_PSB 2020,,,,,,,,,,
#,"Date Time, GMT-05:00","Wind Speed, mph (LGR S/N: 20702489, SEN S/N: 20496534)","Gust Speed, mph (LGR S/N: 20702489, SEN S/N: 20496534)","Wind Direction, ø (LGR S/N: 20702489, SEN S/N: 20496534)","MRT, °F (LGR S/N: 20702489, SEN S/N: 20693834)","Temp, °F (LGR S/N: 20702489, SEN S/N: 20698453)","RH, % (LGR S/N: 20702489, SEN S/N: 20698453)","Solar Radiation, W/m² (LGR S/N: 20702489, SEN S/N: 20702166)","DewPt, °F (LGR S/N: 20702489, SEN S/N: 20698453)","SkyCover, Fraction (LGR S/N: 20095520, SEN S/N: 10732331, LBL: Tamb)"
41,01/02/20 04:00:00 PM,3.12,8.593333333,256.95,45.073,45.32283333,44.26666667,6.25,24.9,1
42,01/02/20 05:00:00 PM,2.87,8.84,251.55,43.65533333,44.1425,47,0.6,25.26666667,1
43,01/02/20 06:00:00 PM,1.746666667,5.346666667,271.0166667,42.77733333,43.63283333,48.18333333,0.6,25.28333333,1
44,01/02/20 07:00:00 PM,2.493333333,8.093333333,266.7833333,42.18616667,42.80016667,49.98333333,0.6,25.43333333,1
45,01/02/20 08:00:00 PM,2.366666667,7.466666667,288.1333333,41.83233333,42.53183333,52.03333333,0.6,26.21666667,1
46,01/02/20 09:00:00 PM,1.87,5.478333333,218.4833333,41.971,42.89983333,51.85,0.6,26.43333333,1
47,01/02/20 10:00:00 PM,1.12,4.606666667,273.1166667,41.50033333,42.37033333,52.91666667,0.6,26.45,1
48,01/02/20 11:00:00 PM,0.866666667,3.611666667,268.45,41.94,43.08266667,53.83333333,0.6,27.53333333,1
49,01/03/20 12:00:00 AM,0.993333333,3.863333333,225.7166667,42.7315,43.625,54.73333333,0.6,28.46666667,1
50,01/03/20 01:00:00 AM,1.5,4.48,295.6333333,43.297,44.01266667,55.81666667,0.6,29.23333333,1
51,01/03/20 02:00:00 AM,1.246666667,4.485,298.45,44.24016667,44.87683333,55.91666667,0.6,30.13333333,1
52,01/03/20 03:00:00 AM,1.623333333,5.726666667,299.65,44.43766667,44.71716667,55.53333333,0.6,29.8,1
53,01/03/20 04:00:00 AM,1.746666667,4.108333333,261.85,43.26483333,43.53083333,58.1,0.6,29.8,1
54,01/03/20 05:00:00 AM,1.87,4.851666667,246.35,42.976,43.30416667,60.15,0.6,30.45,1
55,01/03/20 06:00:00 AM,1.62,3.608333333,231.6,41.963,42.2245,61.6,0.6,30,1
56,01/03/20 07:00:00 AM,0.493333333,1.87,194.9833333,42.18633333,42.45533333,63.26666667,0.816666667,30.86666667,1
57,01/03/20 08:00:00 AM,0.37,1.746666667,105.8333333,43.37183333,43.72366667,64.93333333,14.58333333,32.71666667,1
58,01/03/20 09:00:00 AM,0.616666667,2.243333333,200.15,45.72133333,45.6845,68.38333333,27.51666667,35.86666667,1
59,01/03/20 10:00:00 AM,0.74,2.37,120.8333333,46.166,45.97783333,72.31666667,24.78333333,37.56666667,1
60,01/03/20 11:00:00 AM,0.74,2.616666667,129.0333333,46.3985,45.82783333,79.66666667,42.26666667,39.9,1
61,01/03/20 12:00:00 PM,0.993333333,3.368333333,126.6833333,46.421,46.04566667,83.28333333,35.2,41.28333333,1
62,01/03/20 01:00:00 PM,0.993333333,3.863333333,169.8833333,47.57183333,47.09433333,83.08333333,43.53333333,42.23333333,1
63,01/03/20 02:00:00 PM,0.493333333,2.243333333,146.8833333,47.20616667,46.96033333,84.63333333,22.5,42.6,1
64,01/03/20 03:00:00 PM,0.993333333,2.991666667,140.1,46.37566667,46.10533333,89.28333333,12.7,43.13333333,1
65,01/03/20 04:00:00 PM,0.866666667,2.993333333,200.3833333,45.86566667,46.12066667,89.85,1.866666667,43.31666667,1
66,01/03/20 05:00:00 PM,0.87,2.866666667,198.2833333,45.315,45.3755,91.36666667,0.6,43.03333333,1
67,01/03/20 06:00:00 PM,0.493333333,2.62,150.3833333,45.745,45.986,90.86666667,0.6,43.43333333,1
68,01/03/20 07:00:00 PM,0.746666667,2.62,220.55,45.13433333,45.17183333,91.46666667,0.6,42.88333333,1
69,01/03/20 08:00:00 PM,0.616666667,2.243333333,264.4333333,45.08916667,45.19466667,92.23333333,0.6,43.08333333,1
70,01/03/20 09:00:00 PM,0.993333333,2.746666667,129.2833333,44.582,44.52116667,93.03333333,0.6,42.65,1
71,01/03/20 10:00:00 PM,0.993333333,2.991666667,166.8333333,43.66333333,43.64016667,94.8,0.6,42.26666667,1
72,01/03/20 11:00:00 PM,1.12,3.611666667,86.35,42.79983333,42.6235,96.1,0.6,41.61666667,1
73,01/04/20 12:00:00 AM,0.866666667,2.87,76.73333333,41.89366667,41.8325,95.93333333,0.6,40.7,1
74,01/04/20 01:00:00 AM,0.866666667,2.62,103.9333333,41.2995,41.39983333,95.88333333,0.6,40.33333333,0.2
75,01/04/20 02:00:00 AM,0.62,2.12,123.4166667,40.85766667,40.93516667,96.31666667,0.6,39.96666667,0
76,01/04/20 03:00:00 AM,1.373333333,2.99,157.4333333,40.6875,40.7885,97.1,0.6,40.06666667,0
