title,Solar Radiation,Temp,RH,Wind Speed,Gust Speed,Wind Direction,Water Content,MRT,DewPt
timezone_str,nan,nan,nan,nan,nan,nan,nan,nan,nan
units,W/mÂ²,Â°F,%,mph,mph,Ã¸,mÂ³/mÂ³,Â°F,Â°F
logger_serial_number,20094090,20094090,20094090,20094090,20094090,20094090,20094090,20094090,20094090
sensor_serial_number,20073988,20496044,20496044,20496535,20496535,20496535,20499689,20693833,20496044
datetimes,,,,,,,,,
2019-11-14 12:00:00-05:00,134.56666666666666,32.574666666666666,49.96666666666667,5.978333333333334,13.825000000000001,125.75,0.12743333333333332,34.002,16.066666666666666
2019-11-14 13:00:00-05:00,87.89999999999999,33.27850000000001,49.96666666666667,5.846666666666667,12.33,119.68333333333334,0.12836666666666666,34.018,16.666666666666668
2019-11-14 14:00:00-05:00,69.8,33.93633333333334,49.65,5.603333333333334,12.205,121.09999999999998,0.12903333333333336,34.35333333333333,17.133333333333333
2019-11-14 15:00:00-05:00,34.166666666666664,34.49166666666667,49.333333333333336,6.353333333333334,11.71,118.5,0.12983333333333333,34.43516666666667,17.46666666666667
2019-11-14 16:00:00-05:00,11.666666666666666,34.630833333333335,50.050000000000004,5.353333333333334,10.086666666666668,121.33333333333333,0.13045000000000004,34.222833333333334,17.933333333333334
2019-11-14 17:00:00-05:00,0.6,34.81766666666666,51.0,4.6066666666666665,10.213333333333333,133.04999999999998,0.1307,34.13283333333334,18.5
2019-11-14 18:00:00-05:00,0.6,34.77733333333333,52.48333333333333,3.2466666666666666,8.093333333333334,145.25,0.13103333333333333,34.00233333333333,19.116666666666664
2019-11-14 19:00:00-05:00,0.6,34.98083333333334,52.75,3.6149999999999998,9.593333333333334,152.75,0.13078333333333333,34.329,19.46666666666667
2019-11-14 20:00:00-05:00,0.6,35.103166666666674,52.43333333333334,3.616666666666667,8.72,139.13333333333333,0.1312,34.475833333333334,19.46666666666667
2019-11-14 21:00:00-05:00,0.6,35.20033333333333,52.53333333333333,3.1199999999999997,7.346666666666667,141.01666666666665,0.1312,34.556999999999995,19.6
2019-11-14 22:00:00-05:00,0.6,35.63699999999999,52.366666666666674,3.2466666666666666,7.9700000000000015,141.95000000000002,0.13128333333333334,34.91616666666667,19.916666666666668
2019-11-14 23:00:00-05:00,0.6,36.02433333333334,52.03333333333333,2.8733333333333335,6.846666666666667,137.5,0.1317,35.30566666666667,20.166666666666668
2019-11-15 00:00:00-05:00,0.6,35.279666666666664,53.13333333333333,3.366666666666667,5.599999999999999,119.89999999999999,0.13183333333333333,34.5635,19.916666666666668
2019-11-15 01:00:00-05:00,0.6,34.050666666666665,55.116666666666674,3.4933333333333336,6.1000000000000005,108.61666666666667,0.1317666666666667,32.182833333333335,19.650000000000002
