Plot Title: Parking Lot_PSB 2020,,,,,,,,,,
#,"Date Time, GMT-05:00","Wind Speed, mph (LGR S/N: 20702489, SEN S/N: 20496534)","Gust Speed, mph (LGR S/N: 20702489, SEN S/N: 20496534)","Wind Direction, ø (LGR S/N: 20702489, SEN S/N: 20496534)","MRT, °F (LGR S/N: 20702489, SEN S/N: 20693834)","Temp, °F (LGR S/N: 20702489, SEN S/N: 20698453)","RH, % (LGR S/N: 20702489, SEN S/N: 20698453)","Solar Radiation, W/m² (LGR S/N: 20702489, SEN S/N: 20702166)","DewPt, °F (LGR S/N: 20702489, SEN S/N: 20698453)","SkyCover, Fraction (LGR S/N: 20095520, SEN S/N: 10732331, LBL: Tamb)"
6801,2019-10-10 08:00:00-05:00,0.555819733,1.3947648,106.5333333,20.82944445,11.51851852,75.68333333,368.75,7.388888889,0
6802,2019-10-10 09:00:00-05:00,0.5006848,1.3947648,65.95,24.28287037,14.15888889,68.11666667,521.05,8.361111111,0.2
6803,2019-10-10 10:00:00-05:00,0.725694933,2.113754133,53.26666667,27.34111111,17.52166667,54.1,631.05,8.111111111,0
6804,2019-10-10 11:00:00-05:00,0.8359648,1.948349333,60.05,29.8687037,19.48,47.35,686.05,8,0
6805,2019-10-10 12:00:00-05:00,0.892589867,2.446798933,58.16666667,31.28962963,20.62287037,43.7,685.6333333,7.861111111,1
6806,2019-10-10 13:00:00-05:00,0.946234667,2.447544,112.6333333,32.07351852,21.17490741,45.08333333,622.3,8.787037037,0.2
6807,2019-10-10 14:00:00-05:00,0.949214933,2.560794133,194.75,27.17537037,19.52055555,51.3,310.2,9.175925926,0
6808,2019-10-10 15:00:00-05:00,1.0013696,2.225514133,212.35,18.79824074,17.98611111,57.38333333,23.11666667,9.472222222,0
6809,2019-10-10 16:00:00-05:00,0.387434667,1.6138144,131.6333333,17.85111111,17.6925,59.71666667,12.91666667,9.787037037,0
6810,2019-10-10 17:00:00-05:00,0.387434667,1.057994667,186.0833333,16.33194445,16.32018518,63.15,2.7,9.314814815,0
6811,2019-10-10 18:00:00-05:00,0.110269867,0.779339733,94.55,14.80787037,14.935,69.78333333,0.6,9.444444445,0
6812,2019-10-10 19:00:00-05:00,0.275674667,1.057994667,95.73333333,13.10361111,13.34435185,78.85,0.6,9.740740741,0
6813,2019-10-10 20:00:00-05:00,0.3308096,1.0594848,116.6166667,12.06166667,12.2512037,82.28333333,0.6,9.324074074,0
6814,2019-10-10 21:00:00-05:00,0.1654048,0.9477248,50.68333333,11.15083333,11.3862037,82.83333333,0.6,8.583333333,0
6815,2019-10-10 22:00:00-05:00,0.110269867,0.779339733,133.75,10.24222222,10.53212963,79.96666667,0.6,7.240740741,0
6816,2019-10-10 23:00:00-05:00,0.220539733,1.004349867,95.26666667,9.245648148,9.553981482,77.7,0.6,5.861111111,0
6817,2019-10-11 00:00:00-05:00,0.3308096,1.1712448,159.3166667,8.725185185,9.009166667,76.96666667,0.6,5.203703704,0
6818,2019-10-11 01:00:00-05:00,0.275674667,1.002859733,162.15,7.723981482,8.161481482,79.7,0.6,4.87962963,0
6819,2019-10-11 02:00:00-05:00,0.444059733,1.3925296,166.6,7.355462963,7.686296296,78.96666667,0.6,4.287037037,0
6820,2019-10-11 03:00:00-05:00,0.3308096,1.002859733,191.25,6.563518519,6.833703704,80.91666667,0.6,3.796296296,0
6821,2019-10-11 04:00:00-05:00,0.3308096,1.2830048,179.7166667,5.624722222,5.829351852,84.15,0.6,3.37037037,0
6822,2019-10-11 05:00:00-05:00,0.332299733,1.057994667,151.6,5.248055556,5.701574074,84.45,0.6,3.287037037,0
6823,2019-10-11 06:00:00-05:00,0.1654048,1.004349867,238.1666667,5.367407407,5.505185185,83.4,14.78333333,2.935185185,0
6824,2019-10-11 07:00:00-05:00,0.275674667,0.9477248,121.0666667,15.39833333,8.48462963,76.43333333,191.4666667,4.564814815,0
6825,2019-10-11 08:00:00-05:00,0.387434667,1.114619733,119.4333333,21.85777778,11.88546296,65.53333333,380,5.62037037,0
6826,2019-10-11 09:00:00-05:00,0.387434667,1.226379733,88.93333333,25.98361111,15.24907407,55.06666667,536.6833333,6.231481482,0
6827,2019-10-11 10:00:00-05:00,0.557309867,1.558679467,70.63333333,29.53731482,18.85009259,41.51666667,646.6666667,5.472222222,0.2
6828,2019-10-11 11:00:00-05:00,0.7242048,1.8909792,66.16666667,31.88546296,20.94861111,34.86666667,697.3,4.87037037,1
6829,2019-10-11 12:00:00-05:00,0.780829867,2.2284944,63.33333333,33.74231482,22.52638889,32,695.8333333,5,1
6830,2019-10-11 13:00:00-05:00,0.725694933,2.0027392,63.83333333,34.62574074,23.84555555,30.51666667,631.8666667,5.5,1
6831,2019-10-11 14:00:00-05:00,0.780829867,2.0027392,88.23333333,29.94009259,22.54018519,35,304.1666667,6.305555556,1
6832,2019-10-11 15:00:00-05:00,0.613934933,1.8909792,90.8,21.17509259,20.63083333,40.6,21.25,6.787037037,1
6833,2019-10-11 16:00:00-05:00,0.3308096,1.114619733,151.1166667,19.53962963,19.25796296,45.66666667,11.66666667,7.240740741,1
