title,Wind Speed,Gust Speed,Wind Direction,MRT,Temp,RH,Solar Radiation,DewPt
timezone_str,nan,nan,nan,nan,nan,nan,nan,nan
units,mph,mph,Ã¸,Â°F,Â°F,%,W/mÂ²,Â°F
logger_serial_number,20702489,20702489,20702489,20702489,20702489,20702489,20702489,20702489
sensor_serial_number,20496534,20496534,20496534,20693834,20698453,20698453,20702166,20698453
datetimes,,,,,,,,
2019-09-28 09:00:00-05:00,3.74,8.97,184.4,88.12200000000001,76.63600000000001,57.7,1276.9,60.6
2019-09-28 10:00:00-05:00,2.865,8.09,231.83333333333334,92.96816666666666,79.38433333333333,54.449999999999996,584.1833333333334,61.5
2019-09-28 11:00:00-05:00,2.8733333333333335,7.846666666666667,237.45000000000002,99.759,83.205,49.96666666666667,733.1166666666667,62.633333333333326
2019-09-28 12:00:00-05:00,3.2466666666666666,7.2200000000000015,36.58333333333333,97.10433333333333,84.89766666666667,45.54999999999999,480.4166666666667,61.51666666666667
2019-09-28 13:00:00-05:00,2.8733333333333335,6.226666666666667,63.6,92.93,83.92366666666668,47.11666666666667,351.88333333333327,61.68333333333334
2019-09-28 14:00:00-05:00,2.37,5.723333333333334,63.6,95.89766666666667,84.88516666666668,47.31666666666667,380.4166666666667,62.599999999999994
2019-09-28 15:00:00-05:00,1.9966666666666668,5.476666666666667,120.13333333333333,85.597,81.984,51.416666666666664,113.53333333333335,62.36666666666667
2019-09-28 16:00:00-05:00,1.87,4.601666666666666,129.75,80.65166666666666,79.04216666666666,55.86666666666667,38.333333333333336,61.98333333333333
2019-09-28 17:00:00-05:00,2.12,4.853333333333333,151.8166666666667,76.95733333333332,76.5355,59.949999999999996,7.3,61.583333333333336
2019-09-28 18:00:00-05:00,1.1166666666666667,3.3683333333333336,113.56666666666668,74.87866666666666,74.72699999999999,63.26666666666667,0.6,61.43333333333334
2019-09-28 19:00:00-05:00,1.8733333333333333,4.4816666666666665,124.60000000000002,69.10133333333333,69.80133333333335,81.56666666666666,0.6,63.85
2019-09-28 20:00:00-05:00,1.3733333333333333,3.1233333333333335,126.23333333333333,67.65616666666666,68.32066666666667,89.78333333333332,0.6,65.26666666666667
2019-09-28 21:00:00-05:00,1.5,4.603333333333333,84.69999999999999,66.42183333333334,66.536,91.68333333333334,0.6,64.08333333333333
2019-09-28 22:00:00-05:00,1.6233333333333333,4.475,101.35000000000001,64.03166666666668,64.41783333333333,94.38333333333333,0.6,62.833333333333336
2019-09-28 23:00:00-05:00,1.5,3.983333333333333,95.5,63.254333333333335,63.8965,94.11666666666667,0.6,62.199999999999996
2019-09-29 00:00:00-05:00,2.1233333333333335,5.723333333333333,126.25,62.755,63.33266666666666,93.0,0.6,61.28333333333333
2019-09-29 01:00:00-05:00,1.87,4.485,155.8,62.233666666666664,62.776,91.25,0.6,60.24999999999999
2019-09-29 02:00:00-05:00,1.6233333333333333,3.6150000000000007,138.21666666666664,62.041,62.53349999999998,91.19999999999999,0.6,60.0
2019-09-29 03:00:00-05:00,1.4966666666666668,4.108333333333333,134.45,61.268499999999996,61.683833333333325,90.58333333333333,0.6,58.93333333333333
2019-09-29 04:00:00-05:00,2.3733333333333335,6.228333333333334,164.71666666666667,60.3675,60.63233333333333,87.46666666666668,0.6,56.900000000000006
2019-09-29 05:00:00-05:00,1.6233333333333333,4.6049999999999995,135.15,58.8555,59.07049999999999,85.98333333333335,0.6,54.916666666666664
2019-09-29 06:00:00-05:00,2.8733333333333335,6.8500000000000005,168.70000000000002,57.23233333333334,57.325666666666656,86.43333333333334,12.066666666666668,53.33333333333332
2019-09-29 07:00:00-05:00,2.1233333333333335,5.23,122.48333333333335,61.91400000000001,58.575500000000005,83.08333333333333,101.25,53.5
2019-09-29 08:00:00-05:00,1.9933333333333334,5.223333333333334,130.01666666666668,70.69250000000001,61.21783333333334,76.66666666666667,327.5,53.79999999999999
2019-09-29 09:00:00-05:00,2.3666666666666667,6.223333333333334,65.46666666666667,70.12850000000002,61.65433333333334,71.93333333333332,319.5833333333333,52.53333333333333
2019-09-29 10:00:00-05:00,2.62,6.850000000000001,65.7,79.69616666666667,64.26733333333333,65.30000000000001,650.4333333333333,52.416666666666664
2019-09-29 11:00:00-05:00,2.7466666666666666,6.476666666666667,53.96666666666666,83.01933333333332,66.97866666666665,58.21666666666666,701.8833333333333,51.81666666666666
2019-09-29 12:00:00-05:00,2.8699999999999997,6.346666666666667,59.6,85.53066666666666,68.85666666666667,53.68333333333334,675.6166666666667,51.416666666666664
2019-09-29 13:00:00-05:00,2.62,6.1000000000000005,67.35000000000001,82.48483333333333,68.4715,54.150000000000006,534.7833333333333,51.300000000000004
2019-09-29 14:00:00-05:00,2.7466666666666666,6.850000000000001,61.26666666666667,81.666,68.5425,52.849999999999994,422.3,50.699999999999996
2019-09-29 15:00:00-05:00,2.1166666666666667,6.099999999999999,66.86666666666667,67.69949999999999,65.24483333333335,53.6,66.25,48.01666666666667
2019-09-29 16:00:00-05:00,1.6233333333333333,4.23,92.19999999999999,65.07366666666668,63.126,55.93333333333334,63.349999999999994,47.18333333333334
2019-09-29 17:00:00-05:00,1.87,4.348333333333333,139.38333333333333,61.783166666666666,61.15383333333333,58.050000000000004,11.25,46.36666666666667
2019-09-29 18:00:00-05:00,1.37,3.6100000000000008,150.41666666666666,59.81616666666667,59.54383333333333,63.85,0.6,47.349999999999994
2019-09-29 19:00:00-05:00,1.12,2.9966666666666666,135.86666666666667,58.604499999999994,58.38933333333333,68.61666666666666,0.6,48.150000000000006
