title,MRT,Temp,RH,Solar Radiation,Wind Speed,Gust Speed,Wind Direction,DewPt
timezone_str,nan,nan,nan,nan,nan,nan,nan,nan
units,Â°F,Â°F,%,W/mÂ²,mph,mph,Ã¸,Â°F
logger_serial_number,20702490,20702490,20702490,20702490,20702490,20702490,20702490,20702490
sensor_serial_number,20496098,20698454,20698454,20702165,20706788,20706788,20706788,20698454
datetimes,,,,,,,,
2019-09-27 13:00:00-05:00,81.68799999999999,72.33000000000001,39.9,691.9000000000001,4.484999999999999,11.205,180.95,46.55
2019-09-27 14:00:00-05:00,84.74416666666667,74.3305,38.4,323.13333333333327,2.9966666666666666,7.593333333333334,325.45,47.38333333333333
2019-09-27 15:00:00-05:00,84.346,75.33433333333333,35.199999999999996,349.7833333333333,2.4933333333333336,6.726666666666667,116.61666666666666,46.0
2019-09-27 16:00:00-05:00,76.7195,73.10566666666666,39.083333333333336,181.88333333333333,2.4933333333333336,7.093333333333334,234.15,46.75
2019-09-27 17:00:00-05:00,69.29416666666667,69.40716666666667,45.06666666666666,15.0,2.24,5.973333333333334,129.05,47.166666666666664
2019-09-27 18:00:00-05:00,66.20783333333334,67.42066666666666,49.833333333333336,0.6,3.2383333333333333,8.346666666666666,111.7,48.03333333333333
2019-09-27 19:00:00-05:00,64.97366666666666,66.30783333333333,52.76666666666667,0.6,3.1199999999999997,7.9700000000000015,91.73333333333333,48.550000000000004
2019-09-27 20:00:00-05:00,64.26050000000001,65.58716666666665,55.333333333333336,0.6,2.24,6.099999999999999,178.5666666666667,49.18333333333334
2019-09-27 21:00:00-05:00,64.78833333333331,65.808,56.699999999999996,0.6,2.37,6.346666666666667,149.70000000000002,50.06666666666666
2019-09-27 22:00:00-05:00,64.80966666666667,65.75850000000001,57.400000000000006,0.6,3.3699999999999997,8.216666666666667,78.6,50.35
2019-09-27 23:00:00-05:00,63.697,65.1665,59.18333333333334,0.6,2.4933333333333336,6.973333333333334,96.68333333333334,50.616666666666674
2019-09-28 00:00:00-05:00,63.73983333333333,64.88833333333334,60.58333333333332,0.6,4.351666666666666,10.331666666666667,77.16666666666667,50.96666666666667
2019-09-28 01:00:00-05:00,62.99766666666667,64.18916666666667,62.949999999999996,0.6,4.4750000000000005,9.836666666666668,77.89999999999999,51.36666666666667
2019-09-28 02:00:00-05:00,63.44,64.5245,64.2,0.6,4.4799999999999995,9.59,79.76666666666667,52.199999999999996
2019-09-28 03:00:00-05:00,63.996833333333335,64.89516666666667,65.53333333333333,0.6,4.855,10.833333333333334,77.65,53.08333333333332
2019-09-28 04:00:00-05:00,64.67433333333332,65.20183333333334,66.8,0.6,4.723333333333333,11.455,78.60000000000001,53.900000000000006
2019-09-28 05:00:00-05:00,64.98783333333333,65.45166666666667,68.33333333333333,0.6,4.855,11.455,80.0,54.81666666666666
2019-09-28 06:00:00-05:00,64.89516666666667,65.05216666666665,70.78333333333333,14.183333333333332,4.851666666666667,11.336666666666668,76.7,55.366666666666674
2019-09-28 07:00:00-05:00,66.20766666666667,65.93683333333333,71.60000000000001,38.766666666666666,2.4933333333333336,5.976666666666667,144.76666666666668,56.53333333333334
2019-09-28 08:00:00-05:00,70.052,69.29350000000001,67.8,55.01666666666667,2.9966666666666666,8.963333333333333,98.78333333333335,58.21666666666667
2019-09-28 09:00:00-05:00,76.37216666666667,73.88383333333333,62.11666666666667,133.53333333333333,2.8733333333333335,7.350000000000001,226.9,60.116666666666674
2019-09-28 10:00:00-05:00,80.53983333333333,77.04466666666666,58.28333333333334,163.75,2.37,6.846666666666667,270.3,61.25
2019-09-28 11:00:00-05:00,84.93266666666668,80.47083333333335,54.25,192.71666666666667,2.24,6.096666666666667,230.4333333333333,62.449999999999996
2019-09-28 12:00:00-05:00,85.587,81.25116666666666,51.01666666666666,177.08333333333334,2.7466666666666666,8.466666666666667,220.78333333333333,61.449999999999996
2019-09-28 13:00:00-05:00,85.94366666666667,80.75016666666666,52.04999999999999,155.83333333333334,3.2383333333333333,9.090000000000002,285.56666666666666,61.583333333333336
2019-09-28 14:00:00-05:00,88.08866666666667,80.66183333333333,53.599999999999994,181.03333333333333,2.6166666666666667,8.093333333333334,283.4166666666667,62.300000000000004
2019-09-28 15:00:00-05:00,89.85966666666667,81.09,53.1,305.6333333333334,2.8699999999999997,8.716666666666667,280.40000000000003,62.43333333333334
2019-09-28 16:00:00-05:00,79.83466666666666,78.11033333333334,57.63333333333333,86.25,2.6233333333333335,7.4700000000000015,171.98333333333335,61.9
2019-09-28 17:00:00-05:00,75.65966666666667,75.58683333333333,61.9,11.883333333333331,1.9933333333333334,6.099999999999999,89.16666666666667,61.666666666666664
2019-09-28 18:00:00-05:00,73.2925,73.65983333333332,65.63333333333334,0.6,1.3733333333333333,4.3566666666666665,195.69999999999996,61.45000000000001
2019-09-28 19:00:00-05:00,68.00100000000002,69.22916666666666,80.86666666666666,0.6,1.87,5.9750000000000005,125.06666666666668,63.050000000000004
2019-09-28 20:00:00-05:00,66.83583333333333,67.614,90.36666666666667,0.6,1.5,3.8633333333333333,152.53333333333333,64.75
2019-09-28 21:00:00-05:00,65.52983333333334,65.67299999999999,93.11666666666666,0.6,2.8699999999999997,8.466666666666667,282.98333333333335,63.633333333333326
2019-09-28 22:00:00-05:00,63.36116666666666,63.75350000000001,95.66666666666667,0.6,3.0,8.343333333333334,298.0,62.46666666666667
2019-09-28 23:00:00-05:00,62.404833333333336,63.23283333333334,94.91666666666667,0.6,2.4966666666666666,7.096666666666667,257.8666666666667,61.79999999999999
